序号,交易日期,证券代码,证券简称,涨跌幅,收盘价,成交价,折溢率,成交笔数,成交总量,成交总额,成交总额/流通市值
1,2020-12-29,688030,山石网科,2.5335,34.4,38.5,0.119186046512,12,900.0,34650.0,10.758947896837
2,2022-06-08,603171,税友股份,4.9314,28.3,28.3,0.0,1,424.0921,12001.80643,10.448191672826
3,2021-03-11,688017,绿的谐波,3.4849,94.43,91.25,-0.033675738642,14,294.4418,26867.81425,9.845188230166
4,2022-04-27,300973,立高食品,0.4877,68.0,63.6135,-0.064507352941,22,732.02,46566.32,9.638761506107
5,2023-03-06,001336,楚环科技,-4.0228,30.3,28.8629,-0.047429042904,4,189.9,5481.06,9.002566467113
6,2023-07-26,002798,帝欧家居,1.3333,7.6,6.75,-0.111842105263,4,2830.0,19102.5,8.584029812026
7,2021-04-20,600851,海欣股份,-3.6364,8.48,8.8745,0.046521226415,4,6000.0,53247.0519,8.505935393536
8,2023-11-22,600785,新华百货,0.9085,14.44,15.0,0.038781163435,6,1816.66,27249.9,8.363699343308
9,2023-08-30,301053,远信工业,-0.1144,26.19,24.93,-0.048109965636,1,204.4,5095.69,8.36306389591
10,2023-12-18,920075,柏星龙,10.8247,15.05,14.45,-0.039867109635,2,210.0,3034.5,8.188350961033
11,2023-06-28,301015,百洋医药,0.3845,26.11,23.84,-0.086939869782,7,1050.2,25036.77,8.100492716826
12,2023-01-19,301079,邵阳液压,3.871,20.93,19.65,-0.061156235069,7,380.0,7467.0,7.946007484051
13,2022-09-01,688776,国光电气,-0.3421,189.34,180.82,-0.044998415549,1,193.434,34976.73588,7.74643559899
14,2023-10-18,301015,百洋医药,3.0758,27.48,23.84,-0.132459970888,12,1029.99,24554.93,7.548522953816
15,2022-05-20,603983,丸美股份,9.9953,23.44,19.39,-0.172781569966,20,690.8314,13395.220846,7.42166839125
16,2022-02-10,688317,之江生物,-3.8666,39.78,36.7755,-0.075527903469,3,980.04,36041.422,7.40983126468
17,2020-12-29,300183,东软载波,3.875,16.62,16.62,0.0,3,2081.75,34598.68,7.330384961724
18,2022-01-27,688317,之江生物,-5.4845,43.6,40.11,-0.08004587156,2,973.54,39048.6894,7.324722105167
19,2022-12-08,688686,奥普特,-2.5735,143.1,143.1,0.0,1,216.8519,31031.50689,7.149774174952
20,2021-03-18,688093,世华科技,0.2395,25.11,25.0,-0.004380724811,1,280.0,7000.0,7.127376481503
