日期,上海_融资买入额,上海_融资余额,上海_融券卖出量,上海_融券余量,上海_融券余额,上海_融资融券余额,深圳_融资买入额,深圳_融资余额,深圳_融券卖出量,深圳_融券余量,深圳_融券余额,深圳_融资融券余额,全市场_融资买入额,全市场_融资余额,全市场_融券余额,全市场_融资融券余额
2020-01-02,39665569600,561396722311,168868829,1490508270,11292893947,572689616258,42873443329.0,449269066938.0,46376958.0,261050002.0,3116588735.0,452385655673.0,82539012929.0,1010665789249.0,14409482682.0,1025075271931.0
2020-01-03,33474395954,562710881010,109430958,1435983771,10918911096,573629792106,38255048467.0,449511452527.0,37133317.0,257906787.0,3025195656.0,452536648183.0,71729444421.0,1012222333537.0,13944106752.0,1026166440289.0
2020-01-06,39971310371,567760802437,171138826,1474025681,11193485547,578954287984,48597586008.0,454972078011.0,83516233.0,299766164.0,3250716638.0,458222794649.0,88568896379.0,1022732880448.0,14444202185.0,1037177082633.0
2020-01-07,32940743825,568793261762,144904491,1455991934,11143113227,579936374989,43004954144.0,458305921627.0,64179349.0,291813138.0,3372567374.0,461678489001.0,75945697969.0,1027099183389.0,14515680601.0,1041614863990.0
2020-01-08,35809712248,570740658657,155611085,1394737021,10510224534,581250883191,46488300356.0,459428001826.0,91052222.0,327186189.0,3285081916.0,462713083742.0,82298012604.0,1030168660483.0,13795306450.0,1043963966933.0
2020-01-09,31039484561,571819012961,146253476,1375596816,10520442935,582339455896,42156023277.0,461464019174.0,47913881.0,329909925.0,3445838116.0,464909857290.0,73195507838.0,1033283032135.0,13966281051.0,1047249313186.0
2020-01-10,26873586822,570739934602,125463113,1351861829,10298596512,581038531114,37081329651.0,461320615077.0,36738775.0,312458554.0,3303840315.0,464624455392.0,63954916473.0,1032060549679.0,13602436827.0,1045662986506.0
2020-01-13,31004102581,573021434835,151862524,1378978778,10507325406,583528760241,40814338226.0,464649372976.0,42177908.0,305864980.0,3339023450.0,467988396426.0,71818440807.0,1037670807811.0,13846348856.0,1051517156667.0
2020-01-14,31344441336,574945207770,132289083,1373527039,10491659685,585436867455,42574287962.0,465294877392.0,49598467.0,314060029.0,3344071768.0,468638949160.0,73918729298.0,1040240085162.0,13835731453.0,1054075816615.0
2020-01-15,26948638728,575929132790,104965738,1303001970,10022583450,585951716240,36613916948.0,467166892513.0,40485993.0,303468218.0,3234321197.0,470401213710.0,63562555676.0,1043096025303.0,13256904647.0,1056352929950.0
2020-01-16,25940815347,576558354303,77798384,1221476856,9707122701,586265477004,35506668923.0,467369711068.0,31745776.0,288552312.0,3060425747.0,470430136815.0,61447484270.0,1043928065371.0,12767548448.0,1056695613819.0
2020-01-17,25894205952,575491812969,102038655,1215946775,9769443013,585261255982,33761795374.0,465660483299.0,25768340.0,271746572.0,2905777720.0,468566261019.0,59656001326.0,1041152296268.0,12675220733.0,1053827517001.0
2020-01-20,31214023833,576303022728,86523162,1199160052,9795394680,586098417408,42881555415.0,468733216157.0,56944662.0,286003028.0,3017759250.0,471750975407.0,74095579248.0,1045036238885.0,12813153930.0,1057849392815.0
2020-01-21,32678736729,576301105902,78871039,1131694540,9324777990,585625883892,39825300791.0,468137678163.0,24333743.0,266813815.0,2748267458.0,470885945621.0,72504037520.0,1044438784065.0,12073045448.0,1056511829513.0
2020-01-22,31496052112,576330861708,88170687,1088204785,8897364678,585228226386,43155020319.0,467952487538.0,30482174.0,255561821.0,2663188775.0,470615676313.0,74651072431.0,1044283349246.0,11560553453.0,1055843902699.0
2020-01-23,34244816895,568373798279,60154447,990888122,7983489656,576357287935,44474313191.0,458562909605.0,23529809.0,211706071.0,2104291510.0,460667201115.0,78719130086.0,1026936707884.0,10087781166.0,1037024489050.0
2020-02-03,24109695957,561975455459,30463860,937514913,6552228192,568527683651,24562658352.0,453579966199.0,1887950.0,196043128.0,1719652309.0,455299618508.0,48672354309.0,1015555421658.0,8271880501.0,1023827302159.0
2020-02-04,35461810593,559952837462,8797144,898811733,6523438866,566476276328,47622145437.0,454113085118.0,6358926.0,187307011.0,1692801434.0,455805886552.0,83083956030.0,1014065922580.0,8216240300.0,1022282162880.0
2020-02-05,34111829016,559232297605,20452355,907084280,6720508658,565952806263,49008103147.0,455738595644.0,6865896.0,186037350.0,1736889958.0,457475485602.0,83119932163.0,1014970893249.0,8457398616.0,1023428291865.0
2020-02-06,38529608000,562022699504,21876515,902348168,6767457936,568790157440,55457298996.0,461853530526.0,7266760.0,185316101.0,1792438433.0,463645968959.0,93986906996.0,1023876230030.0,8559896369.0,1032436126399.0
2020-02-07,37686809856,561920858486,12658396,892168591,6781955757,568702814243,55389548205.0,465418494599.0,5073370.0,181202749.0,1735779545.0,467154274144.0,93076358061.0,1027339353085.0,8517735302.0,1035857088387.0
