日期,上海_融资余额(亿元),上海_融资买入额(亿元),深圳_融资余额(亿元),深圳_融资买入额(亿元),全市场_融资余额(亿元),全市场_融资买入额(亿元),全市场_融券余额(亿元),全市场_融资融券余额(亿元)
2020-01-02,5613.96722311,396.655696,4492.69066938,428.73443329,10106.65789249,825.39012929,144.09482682,10250.75271931
2020-01-03,5627.1088101,334.74395954,4495.11452527,382.55048467,10122.22333537,717.29444421,139.44106752,10261.66440289
2020-01-06,5677.60802437,399.71310371,4549.72078011,485.97586008,10227.32880448,885.68896379,144.44202185,10371.77082633
2020-01-07,5687.93261762,329.40743825,4583.05921627,430.04954144,10270.99183389,759.45697969,145.15680601,10416.1486399
2020-01-08,5707.40658657,358.09712248,4594.28001826,464.88300356,10301.68660483,822.98012604,137.9530645,10439.63966933
2020-01-09,5718.19012961,310.39484561,4614.64019174,421.56023277,10332.83032135,731.95507838,139.66281051,10472.49313186
2020-01-10,5707.39934602,268.73586822,4613.20615077,370.81329651,10320.60549679,639.54916473,136.02436827,10456.62986506
2020-01-13,5730.21434835,310.04102581,4646.49372976,408.14338226,10376.70807811,718.18440807,138.46348856,10515.17156667
2020-01-14,5749.4520777,313.44441336,4652.94877392,425.74287962,10402.40085162,739.18729298,138.35731453,10540.75816615
2020-01-15,5759.2913279,269.48638728,4671.66892513,366.13916948,10430.96025303,635.62555676,132.56904647,10563.5292995
2020-01-16,5765.58354303,259.40815347,4673.69711068,355.06668923,10439.28065371,614.4748427,127.67548448,10566.95613819
2020-01-17,5754.91812969,258.94205952,4656.60483299,337.61795374,10411.52296268,596.56001326,126.75220733,10538.27517001
2020-01-20,5763.03022728,312.14023833,4687.33216157,428.81555415,10450.36238885,740.95579248,128.1315393,10578.49392815
2020-01-21,5763.01105902,326.78736729,4681.37678163,398.25300791,10444.38784065,725.0403752,120.73045448,10565.11829513
2020-01-22,5763.30861708,314.96052112,4679.52487538,431.55020319,10442.83349246,746.51072431,115.60553453,10558.43902699
2020-01-23,5683.73798279,342.44816895,4585.62909605,444.74313191,10269.36707884,787.19130086,100.87781166,10370.2448905
2020-02-03,5619.75455459,241.09695957,4535.79966199,245.62658352,10155.55421658,486.72354309,82.71880501,10238.27302159
2020-02-04,5599.52837462,354.61810593,4541.13085118,476.22145437,10140.6592258,830.8395603,82.162403,10222.8216288
2020-02-05,5592.32297605,341.11829016,4557.38595644,490.08103147,10149.70893249,831.19932163,84.57398616,10234.28291865
2020-02-06,5620.22699504,385.29608,4618.53530526,554.57298996,10238.7623003,939.86906996,85.59896369,10324.36126399
2020-02-07,5619.20858486,376.86809856,4654.18494599,553.89548205,10273.39353085,930.76358061,85.17735302,10358.57088387
2020-02-10,5638.95597858,362.46045806,4686.27200989,528.41300232,10325.22798847,890.87346038,93.08963011,10418.31761858
2020-02-11,5624.60299122,304.60935925,4681.63946953,449.47292289,10306.24246075,754.08228214,102.03794747,10408.28040822
2020-02-12,5647.05327037,335.01425705,4725.52264437,513.10576593,10372.57591474,848.12002298,113.71781011,10486.29372485
2020-02-13,5652.69286069,365.19148029,4744.96041178,554.20463073,10397.65327247,919.39611102,117.19660646,10514.84987893
2020-02-14,5648.42574521,352.62531666,4741.07708344,520.11851112,10389.50282865,872.74382778,120.90848378,10510.41131243
2020-02-17,5689.27550285,430.3443452,4818.92175459,624.51865566,10508.19725744,1054.86300086,128.53524874,10636.73250618
2020-02-18,5736.02028083,445.82485006,4884.63233092,657.96723046,10620.65261175,1103.79208052,130.73669004,10751.38930179
2020-02-19,5740.72376028,446.11198356,4905.31410786,684.28244338,10646.03786814,1130.39442694,135.12454867,10781.16241681
2020-02-20,5777.70431812,506.5179108,4978.27789601,711.24081614,10755.98221413,1217.75872694,142.02943027,10898.0116444
2020-02-21,5799.70674213,547.90838593,5028.66856721,794.54259475,10828.37530934,1342.45098068,146.16441886,10974.5397282
