MUTUAL_TYPE,TRADE_DATE,FUND_INFLOW,NET_DEAL_AMT,QUOTA_BALANCE,ACCUM_DEAL_AMT,BUY_AMT,SELL_AMT,LEAD_STOCKS_CODE,LEAD_STOCKS_NAME,LS_CHANGE_RATE,INDEX_CLOSE_PRICE,INDEX_CHANGE_RATE,HOLD_MARKET_CAP,DEAL_AMT,QUOTA_BALANCE_TEXT,DEAL_NUM
001,2026-02-02 00:00:00,,,,,,,603103.SH,横店影视,10.0,4015.75,-2.48,,173774.11,额度充足,7247796
001,2026-01-30 00:00:00,,,,,,,600395.SH,盘江股份,10.06,4117.95,-0.96,,186341.66,额度充足,7560688
001,2026-01-29 00:00:00,,,,,,,600916.SH,中国黄金,10.02,4157.98,0.16,,195274.7,额度充足,7324601
001,2026-01-28 00:00:00,,,,,,,600916.SH,中国黄金,10.04,4151.24,0.27,,185688.97,额度充足,6960171
001,2026-01-27 00:00:00,,,,,,,600877.SH,电科芯片,9.99,4139.9,0.18,,179292.86,额度充足,7282078
001,2026-01-26 00:00:00,,,,,,,600531.SH,豫光金铅,9.98,4132.61,-0.09,,190671.53,额度充足,7657107
001,2026-01-23 00:00:00,,,,,,,601615.SH,明阳智能,10.01,4136.16,0.33,,172236.59,额度充足,6676372
001,2026-01-22 00:00:00,,,,,,,603078.SH,江化微,9.99,4122.58,0.14,,155536.95,额度充足,5981531
001,2026-01-21 00:00:00,,,,,,,603078.SH,江化微,10.02,4116.94,0.08,,154231.36,额度充足,6045165
001,2026-01-20 00:00:00,,,,,,,603078.SH,江化微,9.99,4113.65,-0.01,,158832.38,额度充足,6481633
001,2026-01-19 00:00:00,,,,,,,601965.SH,中国汽研,10.02,4114.0,0.29,,147608.62,额度充足,5629660
001,2026-01-16 00:00:00,,,,,,,600058.SH,五矿发展,10.02,4101.91,-0.26,,166031.49,额度充足,6572519
001,2026-01-15 00:00:00,,,,,,,600058.SH,五矿发展,9.98,4112.6,-0.33,,151044.44,额度充足,5974424
001,2026-01-14 00:00:00,,,,,,,601116.SH,三江购物,10.01,4126.09,-0.31,,202711.86,额度充足,7848277
001,2026-01-13 00:00:00,,,,,,,600676.SH,交运股份,10.04,4138.76,-0.64,,182490.64,额度充足,7286809
001,2026-01-12 00:00:00,,,,,,,600477.SH,杭萧钢构,10.0,4165.29,1.09,,172857.97,额度充足,6548720
001,2026-01-09 00:00:00,,,,,,,600477.SH,杭萧钢构,10.09,4120.43,0.92,,166431.01,额度充足,6336880
001,2026-01-08 00:00:00,,,,,,,600477.SH,杭萧钢构,10.1,4082.98,-0.07,,148412.65,额度充足,5741713
001,2026-01-07 00:00:00,,,,,,,600775.SH,南京熊猫,10.01,4085.77,0.05,,150892.04,额度充足,6047847
001,2026-01-06 00:00:00,,,,,,,600775.SH,南京熊猫,9.97,4083.67,1.5,,147945.24,额度充足,6177415
001,2026-01-05 00:00:00,,,,,,,600775.SH,南京熊猫,9.98,4023.42,1.38,,135207.5,额度充足,5574315
001,2025-12-31 00:00:00,,,,,,,603667.SH,五洲新春,10.0,3968.84,0.09,1316322286581.08,98291.61,额度充足,4074312
001,2025-12-30 00:00:00,,,,,,,605255.SH,天普股份,10.0,3965.12,0.0,,107487.1,额度充足,4680417
001,2025-12-29 00:00:00,,,,,,,600783.SH,鲁信创投,10.0,3965.28,0.04,,103201.17,额度充足,4552049
001,2025-12-24 00:00:00,,,,,,,600962.SH,国投中鲁,10.0,3940.95,0.53,,74353.71,额度充足,3434330
001,2025-12-23 00:00:00,,,,,,,603069.SH,海汽集团,10.02,3919.98,0.07,,83000.47,额度充足,3773462
001,2025-12-22 00:00:00,,,,,,,603977.SH,国泰集团,9.99,3917.36,0.69,,81043.73,额度充足,3823267
001,2025-12-19 00:00:00,,,,,,,601566.SH,九牧王,9.97,3890.45,0.36,,94048.97,额度充足,4361754
001,2025-12-18 00:00:00,,,,,,,601198.SH,东兴证券,9.98,3876.37,0.16,,83088.73,额度充足,4031600
001,2025-12-17 00:00:00,,,,,,,601231.SH,环旭电子,9.99,3870.28,1.19,,96473.91,额度充足,4641670
001,2025-12-16 00:00:00,,,,,,,600650.SH,锦江在线,9.98,3824.81,-1.11,,96118.85,额度充足,4854144
001,2025-12-15 00:00:00,,,,,,,601700.SH,风范股份,10.0,3867.92,-0.55,,99385.28,额度充足,4883991
001,2025-12-12 00:00:00,,,,,,,600776.SH,东方通信,9.98,3889.35,0.41,,149883.45,额度充足,7729912
001,2025-12-11 00:00:00,,,,,,,600936.SH,北投科技,10.0,3873.32,-0.7,,94198.22,额度充足,4446522
001,2025-12-10 00:00:00,,,,,,,600693.SH,东百集团,9.98,3900.5,-0.23,,92187.99,额度充足,4514195
001,2025-12-09 00:00:00,,,,,,,600693.SH,东百集团,9.99,3909.52,-0.37,,99645.6,额度充足,4537223
001,2025-12-08 00:00:00,,,,,,,603528.SH,多伦科技,9.98,3924.08,0.54,,101912.92,额度充足,4416836
001,2025-12-05 00:00:00,,,,,,,600981.SH,苏豪汇鸿,10.09,3902.81,0.7,,88576.26,额度充足,4147285
001,2025-12-04 00:00:00,,,,,,,600592.SH,龙溪股份,10.0,3875.79,-0.06,,78989.2,额度充足,3812473
001,2025-12-03 00:00:00,,,,,,,603906.SH,龙蟠科技,10.01,3878.0,-0.51,,83656.02,额度充足,4259394
001,2025-12-02 00:00:00,,,,,,,600981.SH,苏豪汇鸿,10.03,3897.71,-0.42,,81036.6,额度充足,4200819
001,2025-12-01 00:00:00,,,,,,,600977.SH,中国电影,10.01,3914.01,0.65,,110272.16,额度充足,5111581
001,2025-11-28 00:00:00,,,,,,,600828.SH,茂业商业,10.02,3888.6,0.34,,86748.34,额度充足,4053303
001,2025-11-27 00:00:00,,,,,,,600828.SH,茂业商业,10.04,3875.26,0.29,,88215.35,额度充足,3853027
001,2025-11-26 00:00:00,,,,,,,600734.SH,实达集团,10.02,3864.18,-0.15,,88730.42,额度充足,4085723
001,2025-11-25 00:00:00,,,,,,,603906.SH,龙蟠科技,9.99,3870.02,0.87,,97982.75,额度充足,4581117
001,2025-11-24 00:00:00,,,,,,,601238.SH,广汽集团,10.0,3836.77,0.05,,114653.1,额度充足,5346777
001,2025-11-21 00:00:00,,,,,,,600734.SH,实达集团,10.0,3834.89,-2.45,,112520.03,额度充足,5834399
001,2025-11-20 00:00:00,,,,,,,601279.SH,英利汽车,10.1,3931.05,-0.4,,88440.13,额度充足,4313282
001,2025-11-19 00:00:00,,,,,,,600756.SH,浪潮软件,10.02,3946.74,0.18,,89122.94,额度充足,4316312
001,2025-11-18 00:00:00,,,,,,,600756.SH,浪潮软件,10.01,3939.81,-0.81,,100556.62,额度充足,4755744
001,2025-11-17 00:00:00,,,,,,,600340.SH,华夏幸福,9.85,3972.03,-0.46,,100413.39,额度充足,4563300
001,2025-11-14 00:00:00,,,,,,,600340.SH,华夏幸福,10.04,3990.49,-0.97,,99011.2,额度充足,4416247
001,2025-11-13 00:00:00,,,,,,,603026.SH,石大胜华,10.0,4029.5,0.73,,105544.57,额度充足,4607934
001,2025-11-12 00:00:00,,,,,,,600429.SH,三元股份,9.97,4000.14,-0.07,,107176.37,额度充足,4802438
001,2025-11-11 00:00:00,,,,,,,600429.SH,三元股份,10.05,4002.76,-0.39,,103781.35,额度充足,4598205
001,2025-11-10 00:00:00,,,,,,,601226.SH,华电科工,9.97,4018.6,0.53,,116913.46,额度充足,4975605
001,2025-11-07 00:00:00,,,,,,,600939.SH,重庆建工,9.97,3997.56,-0.25,,111774.49,额度充足,4692029
001,2025-11-06 00:00:00,,,,,,,600550.SH,保变电气,9.99,4007.76,0.97,,119876.27,额度充足,4939841
001,2025-11-05 00:00:00,,,,,,,600734.SH,实达集团,9.95,3969.25,0.23,,109378.96,额度充足,4861345
001,2025-11-04 00:00:00,,,,,,,603067.SH,振华股份,10.0,3960.19,-0.41,,120161.36,额度充足,5539056
001,2025-11-03 00:00:00,,,,,,,603169.SH,兰石重装,9.99,3976.52,0.55,,132332.28,额度充足,5709810
001,2025-10-31 00:00:00,,,,,,,603185.SH,弘元绿能,10.0,3954.79,-0.81,,139745.57,额度充足,5845977
001,2025-10-30 00:00:00,,,,,,,603169.SH,兰石重装,9.98,3986.9,-0.73,,147672.92,额度充足,6189538
001,2025-10-28 00:00:00,,,,,,,603556.SH,海兴电力,9.99,3988.22,-0.22,,117001.21,额度充足,5247112
001,2025-10-27 00:00:00,,,,,,,600686.SH,金龙汽车,10.01,3996.94,1.18,,137399.81,额度充足,5337325
001,2025-10-24 00:00:00,,,,,,,603131.SH,上海沪工,10.0,3950.31,0.71,,108683.73,额度充足,4459827
001,2025-10-23 00:00:00,,,,,,,600121.SH,郑州煤电,10.02,3922.41,0.22,,98041.38,额度充足,4646958
001,2025-10-22 00:00:00,,,,,,,600185.SH,珠免集团,10.08,3913.76,-0.07,,105125.64,额度充足,4537754
001,2025-10-21 00:00:00,,,,,,,601608.SH,中信重工,10.05,3916.33,1.36,,120831.11,额度充足,5122254
001,2025-10-20 00:00:00,,,,,,,603322.SH,超讯通信,9.99,3863.89,0.63,,115299.6,额度充足,5171215
001,2025-10-17 00:00:00,,,,,,,600403.SH,大有能源,10.0,3839.76,-1.95,,129355.33,额度充足,5709339
001,2025-10-16 00:00:00,,,,,,,603938.SH,三孚股份,10.01,3916.23,0.1,,129487.21,额度充足,5520307
001,2025-10-15 00:00:00,,,,,,,600617.SH,国新能源,10.12,3912.21,1.22,,149423.27,额度充足,6236977
001,2025-10-14 00:00:00,,,,,,,601011.SH,宝泰隆,10.0,3865.23,-0.62,,171288.72,额度充足,6915832
001,2025-10-13 00:00:00,,,,,,,601011.SH,宝泰隆,10.09,3889.5,-0.19,,156571.88,额度充足,6774469
001,2025-10-10 00:00:00,,,,,,,601011.SH,宝泰隆,10.1,3897.03,-0.94,,165940.88,额度充足,6768647
001,2025-10-09 00:00:00,,,,,,,600105.SH,永鼎股份,9.99,3933.97,1.32,,177724.15,额度充足,6885511
001,2025-09-30 00:00:00,,,,,,,603496.SH,恒为科技,10.02,3882.78,0.52,1327139862109.04,134688.21,额度充足,5275443
001,2025-09-29 00:00:00,,,,,,,605376.SH,博迁新材,10.0,3862.53,0.9,,143067.96,额度充足,5832200
001,2025-09-26 00:00:00,,,,,,,600403.SH,大有能源,10.03,3828.11,-0.65,,130684.02,额度充足,5285959
