MUTUAL_TYPE,TRADE_DATE,FUND_INFLOW,NET_DEAL_AMT,QUOTA_BALANCE,ACCUM_DEAL_AMT,BUY_AMT,SELL_AMT,LEAD_STOCKS_CODE,LEAD_STOCKS_NAME,LS_CHANGE_RATE,INDEX_CLOSE_PRICE,INDEX_CHANGE_RATE,HOLD_MARKET_CAP,DEAL_AMT,QUOTA_BALANCE_TEXT,DEAL_NUM
005,2026-02-02 00:00:00,,,,,,,000533.SZ,顺钠股份,10.02,4015.75,-2.48,0.0,358310.42,额度充足,14671585
005,2026-01-30 00:00:00,,,,,,,600395.SH,盘江股份,10.06,4117.95,-0.96,0.0,390833.69,额度充足,15462051
005,2026-01-29 00:00:00,,,,,,,600916.SH,中国黄金,10.02,4157.98,0.16,0.0,397224.18,额度充足,14871825
005,2026-01-28 00:00:00,,,,,,,000620.SZ,盈新发展,10.06,4151.24,0.27,0.0,375765.81,额度充足,14006498
005,2026-01-27 00:00:00,,,,,,,002155.SZ,湖南黄金,10.01,4139.9,0.18,0.0,377609.09,额度充足,15161687
005,2026-01-26 00:00:00,,,,,,,002009.SZ,天奇股份,9.98,4132.61,-0.09,0.0,404116.43,额度充足,16068377
005,2026-01-23 00:00:00,,,,,,,002471.SZ,中超控股,10.03,4136.16,0.33,0.0,372461.81,额度充足,14218145
005,2026-01-22 00:00:00,,,,,,,000670.SZ,盈方微,10.05,4122.58,0.14,0.0,331077.14,额度充足,12478291
005,2026-01-21 00:00:00,,,,,,,603078.SH,江化微,10.02,4116.94,0.08,0.0,321215.38,额度充足,12474329
005,2026-01-20 00:00:00,,,,,,,603078.SH,江化微,9.99,4113.65,-0.01,0.0,343768.12,额度充足,13946553
005,2026-01-19 00:00:00,,,,,,,002498.SZ,汉缆股份,10.09,4114.0,0.29,0.0,323770.09,额度充足,12176189
005,2026-01-16 00:00:00,,,,,,,300952.SZ,恒辉安防,20.0,4101.91,-0.26,0.0,366572.5,额度充足,14138657
005,2026-01-15 00:00:00,,,,,,,002049.SZ,紫光国微,10.0,4112.6,-0.33,0.0,355477.99,额度充足,13375360
005,2026-01-14 00:00:00,,,,,,,601116.SH,三江购物,10.01,4126.09,-0.31,0.0,463632.8,额度充足,17334617
005,2026-01-13 00:00:00,,,,,,,600676.SH,交运股份,10.04,4138.76,-0.64,0.0,420935.57,额度充足,16218698
005,2026-01-12 00:00:00,,,,,,,600477.SH,杭萧钢构,10.0,4165.29,1.09,0.0,398980.19,额度充足,14347515
005,2026-01-09 00:00:00,,,,,,,600477.SH,杭萧钢构,10.09,4120.43,0.92,0.0,369643.12,额度充足,13600868
005,2026-01-08 00:00:00,,,,,,,600477.SH,杭萧钢构,10.1,4082.98,-0.07,0.0,324756.45,额度充足,12284052
005,2026-01-07 00:00:00,,,,,,,600775.SH,南京熊猫,10.01,4085.77,0.05,0.0,326858.92,额度充足,12745724
005,2026-01-06 00:00:00,,,,,,,600775.SH,南京熊猫,9.97,4083.67,1.5,0.0,318590.98,额度充足,12931505
005,2026-01-05 00:00:00,,,,,,,002173.SZ,创新医疗,10.0,4023.42,1.38,0.0,295904.75,额度充足,11886169
005,2025-12-31 00:00:00,,,,,,,002208.SZ,合肥城建,10.04,3968.84,0.09,2589754069628.23,222314.37,额度充足,9110388
005,2025-12-30 00:00:00,,,,,,,002527.SZ,新时达,10.01,3965.12,0.0,0.0,238018.43,额度充足,10071634
005,2025-12-29 00:00:00,,,,,,,002471.SZ,中超控股,10.06,3965.28,0.04,0.0,225178.32,额度充足,9729940
005,2025-12-24 00:00:00,,,,,,,000551.SZ,创元科技,10.01,3940.95,0.53,0.0,167177.85,额度充足,7403947
005,2025-12-23 00:00:00,,,,,,,000036.SZ,华联控股,10.05,3919.98,0.07,0.0,180437.94,额度充足,8069390
005,2025-12-22 00:00:00,,,,,,,002175.SZ,东方智造,10.0,3917.36,0.69,0.0,182161.13,额度充足,8070643
005,2025-12-19 00:00:00,,,,,,,601566.SH,九牧王,9.97,3890.45,0.36,0.0,198940.54,额度充足,9130595
005,2025-12-18 00:00:00,,,,,,,002103.SZ,广博股份,10.04,3876.37,0.16,0.0,183397.71,额度充足,8462381
005,2025-12-17 00:00:00,,,,,,,002536.SZ,飞龙股份,10.01,3870.28,1.19,0.0,212760.33,额度充足,9882562
005,2025-12-16 00:00:00,,,,,,,002703.SZ,浙江世宝,10.04,3824.81,-1.11,0.0,207635.43,额度充足,10208877
005,2025-12-15 00:00:00,,,,,,,601700.SH,风范股份,10.0,3867.92,-0.55,0.0,212205.58,额度充足,10008540
005,2025-12-12 00:00:00,,,,,,,001208.SZ,华菱线缆,10.03,3889.35,0.41,0.0,309683.69,额度充足,15064329
005,2025-12-11 00:00:00,,,,,,,000950.SZ,重药控股,10.07,3873.32,-0.7,0.0,206087.12,额度充足,9267917
005,2025-12-10 00:00:00,,,,,,,600693.SH,东百集团,9.98,3900.5,-0.23,0.0,204413.98,额度充足,9469343
005,2025-12-09 00:00:00,,,,,,,002229.SZ,鸿博股份,10.01,3909.52,-0.37,0.0,219600.03,额度充足,9582523
005,2025-12-08 00:00:00,,,,,,,002149.SZ,西部材料,9.99,3924.08,0.54,0.0,222568.82,额度充足,9272203
005,2025-12-05 00:00:00,,,,,,,600981.SH,苏豪汇鸿,10.09,3902.81,0.7,0.0,192684.96,额度充足,8732561
005,2025-12-04 00:00:00,,,,,,,600592.SH,龙溪股份,10.0,3875.79,-0.06,0.0,174203.5,额度充足,8148920
005,2025-12-03 00:00:00,,,,,,,603906.SH,龙蟠科技,10.01,3878.0,-0.51,0.0,187308.93,额度充足,8952980
005,2025-12-02 00:00:00,,,,,,,600981.SH,苏豪汇鸿,10.03,3897.71,-0.42,0.0,179760.17,额度充足,8776056
005,2025-12-01 00:00:00,,,,,,,002413.SZ,雷科防务,10.05,3914.01,0.65,0.0,229762.71,额度充足,10177055
005,2025-11-28 00:00:00,,,,,,,600828.SH,茂业商业,10.02,3888.6,0.34,0.0,186353.24,额度充足,8377876
005,2025-11-27 00:00:00,,,,,,,600828.SH,茂业商业,10.04,3875.26,0.29,0.0,192543.72,额度充足,8162963
005,2025-11-26 00:00:00,,,,,,,002512.SZ,达华智能,10.02,3864.18,-0.15,0.0,200707.46,额度充足,8733123
005,2025-11-25 00:00:00,,,,,,,000070.SZ,特发信息,10.0,3870.02,0.87,0.0,215306.3,额度充足,9588616
005,2025-11-24 00:00:00,,,,,,,002413.SZ,雷科防务,10.02,3836.77,0.05,0.0,236307.64,额度充足,10904790
005,2025-11-21 00:00:00,,,,,,,000070.SZ,特发信息,10.0,3834.89,-2.45,0.0,233402.34,额度充足,11758208
005,2025-11-20 00:00:00,,,,,,,601279.SH,英利汽车,10.1,3931.05,-0.4,0.0,192054.78,额度充足,8949236
005,2025-11-19 00:00:00,,,,,,,600756.SH,浪潮软件,10.02,3946.74,0.18,0.0,191286.27,额度充足,9058999
005,2025-11-18 00:00:00,,,,,,,600756.SH,浪潮软件,10.01,3939.81,-0.81,0.0,218172.94,额度充足,10031239
005,2025-11-17 00:00:00,,,,,,,000547.SZ,航天发展,9.99,3972.03,-0.46,0.0,213000.71,额度充足,9331898
005,2025-11-14 00:00:00,,,,,,,002242.SZ,九阳股份,10.04,3990.49,-0.97,0.0,209822.12,额度充足,9163057
005,2025-11-13 00:00:00,,,,,,,300497.SZ,富祥药业,20.03,4029.5,0.73,0.0,225421.19,额度充足,9443676
005,2025-11-12 00:00:00,,,,,,,002309.SZ,中利集团,10.03,4000.14,-0.07,0.0,226065.44,额度充足,9886919
005,2025-11-11 00:00:00,,,,,,,600429.SH,三元股份,10.05,4002.76,-0.39,0.0,223367.59,额度充足,9544136
005,2025-11-10 00:00:00,,,,,,,002387.SZ,维信诺,10.04,4018.6,0.53,0.0,243636.78,额度充足,10129133
005,2025-11-07 00:00:00,,,,,,,002897.SZ,意华股份,10.0,3997.56,-0.25,0.0,235855.75,额度充足,9656249
005,2025-11-06 00:00:00,,,,,,,000922.SZ,佳电股份,10.01,4007.76,0.97,0.0,244205.56,额度充足,9927357
005,2025-11-05 00:00:00,,,,,,,002255.SZ,海陆重工,10.0,3969.25,0.23,0.0,228681.85,额度充足,9932204
005,2025-11-04 00:00:00,,,,,,,603067.SH,振华股份,10.0,3960.19,-0.41,0.0,240910.34,额度充足,10911266
005,2025-11-03 00:00:00,,,,,,,603169.SH,兰石重装,9.99,3976.52,0.55,0.0,267742.42,额度充足,11311276
005,2025-10-31 00:00:00,,,,,,,603185.SH,弘元绿能,10.0,3954.79,-0.81,0.0,284257.68,额度充足,11533613
005,2025-10-30 00:00:00,,,,,,,002314.SZ,南山控股,10.0,3986.9,-0.73,0.0,292073.57,额度充足,12158908
005,2025-10-28 00:00:00,,,,,,,000592.SZ,平潭发展,10.02,3988.22,-0.22,0.0,237133.17,额度充足,10341694
005,2025-10-27 00:00:00,,,,,,,600686.SH,金龙汽车,10.01,3996.94,1.18,0.0,277984.42,额度充足,10713649
005,2025-10-24 00:00:00,,,,,,,000620.SZ,盈新发展,10.0,3950.31,0.71,0.0,221980.85,额度充足,9169876
005,2025-10-23 00:00:00,,,,,,,000011.SZ,深物业A,10.03,3922.41,0.22,0.0,199906.32,额度充足,9479867
005,2025-10-22 00:00:00,,,,,,,000620.SZ,盈新发展,10.1,3913.76,-0.07,0.0,213792.13,额度充足,9281915
005,2025-10-21 00:00:00,,,,,,,601608.SH,中信重工,10.05,3916.33,1.36,0.0,246865.8,额度充足,10379094
005,2025-10-20 00:00:00,,,,,,,002935.SZ,天奥电子,10.0,3863.89,0.63,0.0,234731.29,额度充足,10298204
005,2025-10-17 00:00:00,,,,,,,002552.SZ,宝鼎科技,10.0,3839.76,-1.95,0.0,257176.89,额度充足,11352724
005,2025-10-16 00:00:00,,,,,,,603938.SH,三孚股份,10.01,3916.23,0.1,0.0,260562.5,额度充足,11081213
005,2025-10-15 00:00:00,,,,,,,600617.SH,国新能源,10.12,3912.21,1.22,0.0,296471.74,额度充足,12469482
005,2025-10-14 00:00:00,,,,,,,601011.SH,宝泰隆,10.0,3865.23,-0.62,0.0,347502.02,额度充足,13953389
005,2025-10-13 00:00:00,,,,,,,601011.SH,宝泰隆,10.09,3889.5,-0.19,0.0,326161.58,额度充足,13937823
005,2025-10-10 00:00:00,,,,,,,601011.SH,宝泰隆,10.1,3897.03,-0.94,0.0,334478.43,额度充足,13651002
005,2025-10-09 00:00:00,,,,,,,001337.SZ,四川黄金,10.0,3933.97,1.32,0.0,360164.9,额度充足,13659008
005,2025-09-30 00:00:00,,,,,,,603496.SH,恒为科技,10.02,3882.78,0.52,2554170360397.47,276254.18,额度充足,10702143
005,2025-09-29 00:00:00,,,,,,,002140.SZ,东华科技,10.02,3862.53,0.9,0.0,294617.79,额度充足,11802202
005,2025-09-26 00:00:00,,,,,,,300080.SZ,易成新能,20.1,3828.11,-0.65,0.0,278912.0,额度充足,10961279
005,2025-09-25 00:00:00,,,,,,,002755.SZ,奥赛康,10.02,3853.3,-0.01,0.0,298425.2,额度充足,11017182
005,2025-09-24 00:00:00,,,,,,,001208.SZ,华菱线缆,9.99,3853.64,0.83,0.0,286133.42,额度充足,10957971
005,2025-09-23 00:00:00,,,,,,,002402.SZ,和而泰,10.01,3821.83,-0.18,0.0,324563.14,额度充足,12731627
005,2025-09-22 00:00:00,,,,,,,002402.SZ,和而泰,10.0,3828.58,0.22,0.0,270882.64,额度充足,10538315
005,2025-09-19 00:00:00,,,,,,,002059.SZ,云南旅游,10.03,3820.09,-0.3,0.0,326394.23,额度充足,12473200
005,2025-09-18 00:00:00,,,,,,,002059.SZ,云南旅游,10.05,3831.66,-1.15,0.0,371791.11,额度充足,13518254
005,2025-09-17 00:00:00,,,,,,,600699.SH,均胜电子,10.01,3876.34,0.37,0.0,287725.55,额度充足,11043651
005,2025-09-16 00:00:00,,,,,,,002400.SZ,省广集团,9.99,3861.87,0.04,0.0,287621.76,额度充足,11107626
005,2025-09-15 00:00:00,,,,,,,600170.SH,上海建工,10.19,3860.5,-0.26,0.0,287305.84,额度充足,11305659
005,2025-09-12 00:00:00,,,,,,,002335.SZ,科华数据,10.01,3870.6,-0.12,0.0,311282.78,额度充足,11536566
005,2025-09-11 00:00:00,,,,,,,600103.SH,青山纸业,10.14,3875.31,1.65,0.0,315267.27,额度充足,11730978
005,2025-09-10 00:00:00,,,,,,,600376.SH,首开股份,10.12,3812.22,0.13,0.0,263614.61,额度充足,10176123
005,2025-09-09 00:00:00,,,,,,,600376.SH,首开股份,10.1,3807.29,-0.51,0.0,281751.56,额度充足,11386428
005,2025-09-08 00:00:00,,,,,,,002516.SZ,旷达科技,10.0,3826.84,0.38,0.0,329043.47,额度充足,12813050
005,2025-09-05 00:00:00,,,,,,,600103.SH,青山纸业,10.04,3812.51,1.24,0.0,316048.39,额度充足,12388056
005,2025-09-04 00:00:00,,,,,,,002150.SZ,正泰电源,10.0,3765.88,-1.25,0.0,380871.6,额度充足,14844185
005,2025-09-03 00:00:00,,,,,,,002547.SZ,春兴精工,10.1,3813.56,-1.16,0.0,332561.66,额度充足,13419139
005,2025-09-02 00:00:00,,,,,,,601212.SH,白银有色,10.08,3858.13,-0.45,0.0,367085.17,额度充足,13788695
005,2025-09-01 00:00:00,,,,,,,002642.SZ,荣联科技,10.05,3875.53,0.46,0.0,342313.6,额度充足,12776831
005,2025-08-29 00:00:00,,,,,,,301177.SZ,迪阿股份,19.99,3857.93,0.37,0.0,377559.65,额度充足,14154666
005,2025-08-28 00:00:00,,,,,,,603068.SH,博通集成,10.01,3843.6,1.14,0.0,393808.68,额度充足,15132368
005,2025-08-27 00:00:00,,,,,,,002250.SZ,联化科技,10.01,3800.35,-1.76,0.0,398830.94,额度充足,14964025
005,2025-08-26 00:00:00,,,,,,,002261.SZ,拓维信息,10.0,3868.38,-0.39,0.0,363461.19,额度充足,13270777
005,2025-08-25 00:00:00,,,,,,,300192.SZ,科德教育,20.01,3883.56,1.51,0.0,404544.18,额度充足,14478729
005,2025-08-22 00:00:00,,,,,,,300192.SZ,科德教育,20.01,3825.76,1.45,0.0,324935.67,额度充足,12065991
005,2025-08-21 00:00:00,,,,,,,000650.SZ,仁和药业,10.03,3771.1,0.13,0.0,309771.93,额度充足,12070690
005,2025-08-20 00:00:00,,,,,,,000650.SZ,仁和药业,10.0,3766.21,1.04,0.0,317089.74,额度充足,12602125
005,2025-08-19 00:00:00,,,,,,,600590.SH,泰豪科技,10.05,3727.29,-0.02,0.0,348842.12,额度充足,13265625
005,2025-08-18 00:00:00,,,,,,,002052.SZ,同洲电子,10.01,3728.03,0.85,0.0,369486.99,额度充足,13674017
005,2025-08-15 00:00:00,,,,,,,600208.SH,衢州发展,10.04,3696.77,0.83,0.0,310436.16,额度充足,12386919
005,2025-08-14 00:00:00,,,,,,,002491.SZ,通鼎互联,10.06,3666.44,-0.46,0.0,285284.35,额度充足,11557806
005,2025-08-13 00:00:00,,,,,,,002549.SZ,凯美特气,10.04,3683.46,0.48,0.0,277192.02,额度充足,11371309
005,2025-08-12 00:00:00,,,,,,,002941.SZ,新疆交建,10.01,3665.92,0.5,0.0,236533.95,额度充足,9825975
