MUTUAL_TYPE,TRADE_DATE,FUND_INFLOW,NET_DEAL_AMT,QUOTA_BALANCE,ACCUM_DEAL_AMT,BUY_AMT,SELL_AMT,LEAD_STOCKS_CODE,LEAD_STOCKS_NAME,LS_CHANGE_RATE,INDEX_CLOSE_PRICE,INDEX_CHANGE_RATE,HOLD_MARKET_CAP,DEAL_AMT,QUOTA_BALANCE_TEXT,DEAL_NUM
003,2026-02-02 00:00:00,,,,,,,000533.SZ,顺钠股份,10.02,13824.35,-2.69,,184536.31,额度充足,7423789
003,2026-01-30 00:00:00,,,,,,,002455.SZ,百川股份,9.98,14205.89,-0.66,,204492.03,额度充足,7901363
003,2026-01-29 00:00:00,,,,,,,002155.SZ,湖南黄金,10.01,14300.08,-0.3,,201949.48,额度充足,7547224
003,2026-01-28 00:00:00,,,,,,,000620.SZ,盈新发展,10.06,14342.89,0.09,,190076.84,额度充足,7046327
003,2026-01-27 00:00:00,,,,,,,002155.SZ,湖南黄金,10.01,14329.91,0.09,,198316.23,额度充足,7879609
003,2026-01-26 00:00:00,,,,,,,002009.SZ,天奇股份,9.98,14316.64,-0.85,,213444.9,额度充足,8411270
003,2026-01-23 00:00:00,,,,,,,002471.SZ,中超控股,10.03,14439.66,0.79,,200225.22,额度充足,7541773
003,2026-01-22 00:00:00,,,,,,,000670.SZ,盈方微,10.05,14327.05,0.5,,175540.19,额度充足,6496760
003,2026-01-21 00:00:00,,,,,,,000670.SZ,盈方微,10.0,14255.13,0.7,,166984.02,额度充足,6429164
003,2026-01-20 00:00:00,,,,,,,000670.SZ,盈方微,9.96,14155.63,-0.97,,184935.74,额度充足,7464920
003,2026-01-19 00:00:00,,,,,,,002498.SZ,汉缆股份,10.09,14294.05,0.09,,176161.47,额度充足,6546529
003,2026-01-16 00:00:00,,,,,,,300952.SZ,恒辉安防,20.0,14281.08,-0.18,,200541.01,额度充足,7566138
003,2026-01-15 00:00:00,,,,,,,002049.SZ,紫光国微,10.0,14306.73,0.41,,204433.55,额度充足,7400936
003,2026-01-14 00:00:00,,,,,,,002115.SZ,三维通信,9.99,14248.6,0.56,,260920.94,额度充足,9486340
003,2026-01-13 00:00:00,,,,,,,002044.SZ,美年健康,9.94,14169.4,-1.37,,238444.93,额度充足,8931889
003,2026-01-12 00:00:00,,,,,,,000681.SZ,视觉中国,9.99,14366.91,1.75,,226122.22,额度充足,7798795
003,2026-01-09 00:00:00,,,,,,,002342.SZ,巨力索具,10.02,14120.15,1.15,,203212.11,额度充足,7263988
003,2026-01-08 00:00:00,,,,,,,002173.SZ,创新医疗,9.99,13959.48,-0.51,,176343.8,额度充足,6542339
003,2026-01-07 00:00:00,,,,,,,000620.SZ,盈新发展,9.9,14030.56,0.06,,175966.88,额度充足,6697877
003,2026-01-06 00:00:00,,,,,,,000516.SZ,国际医学,9.96,14022.55,1.4,,170645.74,额度充足,6754090
003,2026-01-05 00:00:00,,,,,,,002173.SZ,创新医疗,10.0,13828.63,2.24,,160697.25,额度充足,6311854
003,2025-12-31 00:00:00,,,,,,,002208.SZ,合肥城建,10.04,13525.02,-0.58,1273431783047.16,124022.76,额度充足,5036076
003,2025-12-30 00:00:00,,,,,,,002527.SZ,新时达,10.01,13604.07,0.49,,130531.33,额度充足,5391217
003,2025-12-29 00:00:00,,,,,,,002471.SZ,中超控股,10.06,13537.1,-0.49,,121977.15,额度充足,5177891
003,2025-12-24 00:00:00,,,,,,,000551.SZ,创元科技,10.01,13486.42,0.88,,92824.14,额度充足,3969617
003,2025-12-23 00:00:00,,,,,,,000036.SZ,华联控股,10.05,13368.99,0.27,,97437.47,额度充足,4295928
003,2025-12-22 00:00:00,,,,,,,002175.SZ,东方智造,10.0,13332.73,1.47,,101117.4,额度充足,4247376
003,2025-12-19 00:00:00,,,,,,,002677.SZ,浙江美大,9.95,13140.21,0.66,,104891.57,额度充足,4768841
003,2025-12-18 00:00:00,,,,,,,002103.SZ,广博股份,10.04,13053.97,-1.29,,100308.98,额度充足,4430781
003,2025-12-17 00:00:00,,,,,,,002536.SZ,飞龙股份,10.01,13224.51,2.4,,116286.42,额度充足,5240892
003,2025-12-16 00:00:00,,,,,,,002703.SZ,浙江世宝,10.04,12914.67,-1.51,,111516.58,额度充足,5354733
003,2025-12-15 00:00:00,,,,,,,001208.SZ,华菱线缆,9.98,13112.09,-1.1,,112820.3,额度充足,5124549
003,2025-12-12 00:00:00,,,,,,,001208.SZ,华菱线缆,10.03,13258.33,0.84,,159800.24,额度充足,7334417
003,2025-12-11 00:00:00,,,,,,,000950.SZ,重药控股,10.07,13147.39,-1.27,,111888.9,额度充足,4821395
003,2025-12-10 00:00:00,,,,,,,000950.SZ,重药控股,9.94,13316.42,0.29,,112225.99,额度充足,4955148
003,2025-12-09 00:00:00,,,,,,,002229.SZ,鸿博股份,10.01,13277.36,-0.39,,119954.43,额度充足,5045300
003,2025-12-08 00:00:00,,,,,,,002149.SZ,西部材料,9.99,13329.99,1.39,,120655.9,额度充足,4855367
003,2025-12-05 00:00:00,,,,,,,000859.SZ,国风新材,10.0,13147.68,1.08,,104108.7,额度充足,4585276
003,2025-12-04 00:00:00,,,,,,,002520.SZ,日发精机,9.97,13006.72,0.4,,95214.3,额度充足,4336447
003,2025-12-03 00:00:00,,,,,,,002353.SZ,杰瑞股份,10.0,12955.25,-0.78,,103652.91,额度充足,4693586
003,2025-12-02 00:00:00,,,,,,,002632.SZ,道明光学,10.01,13056.7,-0.68,,98723.57,额度充足,4575237
003,2025-12-01 00:00:00,,,,,,,002413.SZ,雷科防务,10.05,13146.72,1.25,,119490.55,额度充足,5065474
003,2025-11-28 00:00:00,,,,,,,002353.SZ,杰瑞股份,10.0,12984.08,0.85,,99604.9,额度充足,4324573
003,2025-11-27 00:00:00,,,,,,,002960.SZ,青鸟消防,10.03,12875.19,-0.25,,104328.37,额度充足,4309936
003,2025-11-26 00:00:00,,,,,,,002512.SZ,达华智能,10.02,12907.83,1.02,,111977.04,额度充足,4647400
003,2025-11-25 00:00:00,,,,,,,000070.SZ,特发信息,10.0,12777.31,1.53,,117323.55,额度充足,5007499
003,2025-11-24 00:00:00,,,,,,,002413.SZ,雷科防务,10.02,12585.08,0.37,,121654.54,额度充足,5558013
003,2025-11-21 00:00:00,,,,,,,000070.SZ,特发信息,10.0,12538.07,-3.41,,120882.31,额度充足,5923809
003,2025-11-20 00:00:00,,,,,,,000859.SZ,国风新材,10.04,12980.82,-0.76,,103614.65,额度充足,4635954
003,2025-11-19 00:00:00,,,,,,,002301.SZ,齐心集团,9.96,13080.09,0.0,,102163.33,额度充足,4742687
003,2025-11-18 00:00:00,,,,,,,002153.SZ,石基信息,9.97,13080.49,-0.92,,117616.32,额度充足,5275495
003,2025-11-17 00:00:00,,,,,,,000547.SZ,航天发展,9.99,13202.0,-0.11,,112587.32,额度充足,4768598
003,2025-11-14 00:00:00,,,,,,,002242.SZ,九阳股份,10.04,13216.03,-1.93,,110810.92,额度充足,4746810
003,2025-11-13 00:00:00,,,,,,,300497.SZ,富祥药业,20.03,13476.52,1.78,,119876.62,额度充足,4835742
003,2025-11-12 00:00:00,,,,,,,002309.SZ,中利集团,10.03,13240.62,-0.36,,118889.07,额度充足,5084481
003,2025-11-11 00:00:00,,,,,,,002387.SZ,维信诺,9.98,13289.01,-1.03,,119586.24,额度充足,4945931
003,2025-11-10 00:00:00,,,,,,,002387.SZ,维信诺,10.04,13427.61,0.18,,126723.32,额度充足,5153528
003,2025-11-07 00:00:00,,,,,,,002897.SZ,意华股份,10.0,13404.06,-0.36,,124081.26,额度充足,4964220
003,2025-11-06 00:00:00,,,,,,,000922.SZ,佳电股份,10.01,13452.42,1.73,,124329.29,额度充足,4987516
003,2025-11-05 00:00:00,,,,,,,002255.SZ,海陆重工,10.0,13223.56,0.37,,119302.89,额度充足,5070859
003,2025-11-04 00:00:00,,,,,,,000620.SZ,盈新发展,9.89,13175.22,-1.71,,120748.98,额度充足,5372210
003,2025-11-03 00:00:00,,,,,,,002181.SZ,粤传媒,9.96,13404.06,0.19,,135410.14,额度充足,5601466
003,2025-10-31 00:00:00,,,,,,,000559.SZ,万向钱潮,9.99,13378.21,-1.14,,144512.11,额度充足,5687636
003,2025-10-30 00:00:00,,,,,,,002314.SZ,南山控股,10.0,13532.13,-1.16,,144400.65,额度充足,5969370
003,2025-10-28 00:00:00,,,,,,,000592.SZ,平潭发展,10.02,13430.1,-0.44,,120131.96,额度充足,5094582
003,2025-10-27 00:00:00,,,,,,,000592.SZ,平潭发展,9.91,13489.4,1.51,,140584.61,额度充足,5376324
003,2025-10-24 00:00:00,,,,,,,000620.SZ,盈新发展,10.0,13289.18,2.02,,113297.12,额度充足,4710049
003,2025-10-23 00:00:00,,,,,,,000011.SZ,深物业A,10.03,13025.45,0.22,,101864.94,额度充足,4832909
003,2025-10-22 00:00:00,,,,,,,000620.SZ,盈新发展,10.1,12996.61,-0.62,,108666.49,额度充足,4744161
003,2025-10-21 00:00:00,,,,,,,000852.SZ,石化机械,9.97,13077.32,2.06,,126034.69,额度充足,5256840
003,2025-10-20 00:00:00,,,,,,,002935.SZ,天奥电子,10.0,12813.21,0.98,,119431.69,额度充足,5126989
003,2025-10-17 00:00:00,,,,,,,002552.SZ,宝鼎科技,10.0,12688.94,-3.04,,127821.56,额度充足,5643385
003,2025-10-16 00:00:00,,,,,,,002190.SZ,成飞集成,10.0,13086.41,-0.25,,131075.29,额度充足,5560906
003,2025-10-15 00:00:00,,,,,,,000572.SZ,海马汽车,10.0,13118.75,1.73,,147048.47,额度充足,6232505
003,2025-10-14 00:00:00,,,,,,,000833.SZ,粤桂股份,9.99,12895.11,-2.54,,176213.3,额度充足,7037557
003,2025-10-13 00:00:00,,,,,,,000969.SZ,安泰科技,9.99,13231.47,-0.93,,169589.7,额度充足,7163354
003,2025-10-10 00:00:00,,,,,,,000819.SZ,岳阳兴长,10.0,13355.42,-2.7,,168537.55,额度充足,6882355
003,2025-10-09 00:00:00,,,,,,,001337.SZ,四川黄金,10.0,13725.56,1.47,,182440.75,额度充足,6773497
003,2025-09-30 00:00:00,,,,,,,000021.SZ,深科技,9.98,13526.51,0.35,1227030498288.44,141565.97,额度充足,5426700
003,2025-09-29 00:00:00,,,,,,,002140.SZ,东华科技,10.02,13479.43,2.05,,151549.83,额度充足,5970002
003,2025-09-26 00:00:00,,,,,,,300080.SZ,易成新能,20.1,13209.0,-1.76,,148227.98,额度充足,5675320
003,2025-09-25 00:00:00,,,,,,,002755.SZ,奥赛康,10.02,13445.9,0.67,,163604.29,额度充足,5823236
003,2025-09-24 00:00:00,,,,,,,001208.SZ,华菱线缆,9.99,13356.14,1.8,,152845.3,额度充足,5696803
003,2025-09-23 00:00:00,,,,,,,002402.SZ,和而泰,10.01,13119.82,-0.29,,173202.8,额度充足,6663782
003,2025-09-22 00:00:00,,,,,,,002402.SZ,和而泰,10.0,13157.97,0.67,,141421.81,额度充足,5466550
003,2025-09-19 00:00:00,,,,,,,002059.SZ,云南旅游,10.03,13070.86,-0.04,,171575.07,额度充足,6545230
003,2025-09-18 00:00:00,,,,,,,002059.SZ,云南旅游,10.05,13075.66,-1.06,,195893.87,额度充足,7112419
003,2025-09-17 00:00:00,,,,,,,002617.SZ,露笑科技,9.97,13215.46,1.16,,156426.96,额度充足,5849863
003,2025-09-16 00:00:00,,,,,,,002400.SZ,省广集团,9.99,13063.97,0.45,,155834.68,额度充足,5865911
003,2025-09-15 00:00:00,,,,,,,002709.SZ,天赐材料,9.99,13005.77,0.63,,156534.58,额度充足,5967982
003,2025-09-12 00:00:00,,,,,,,002335.SZ,科华数据,10.01,12924.13,-0.43,,161912.53,额度充足,5948241
003,2025-09-11 00:00:00,,,,,,,002642.SZ,荣联科技,9.98,12979.89,3.36,,169235.81,额度充足,6195841
003,2025-09-10 00:00:00,,,,,,,000718.SZ,苏宁环球,10.04,12557.68,0.38,,144194.34,额度充足,5384381
003,2025-09-09 00:00:00,,,,,,,002866.SZ,传艺科技,10.02,12510.6,-1.23,,151309.07,额度充足,5996138
003,2025-09-08 00:00:00,,,,,,,002516.SZ,旷达科技,10.0,12666.84,0.61,,173159.66,额度充足,6568781
003,2025-09-05 00:00:00,,,,,,,002150.SZ,正泰电源,9.97,12590.56,3.89,,167835.08,额度充足,6398035
003,2025-09-04 00:00:00,,,,,,,002150.SZ,正泰电源,10.0,12118.7,-2.83,,193235.69,额度充足,7312636
003,2025-09-03 00:00:00,,,,,,,002547.SZ,春兴精工,10.1,12472.0,-0.65,,174530.31,额度充足,6944035
003,2025-09-02 00:00:00,,,,,,,000564.SZ,供销大集,9.84,12553.84,-2.14,,199684.17,额度充足,7378409
003,2025-09-01 00:00:00,,,,,,,002642.SZ,荣联科技,10.05,12828.95,1.05,,183418.95,额度充足,6653739
003,2025-08-29 00:00:00,,,,,,,301177.SZ,迪阿股份,19.99,12696.15,0.99,,205259.58,额度充足,7502160
003,2025-08-28 00:00:00,,,,,,,002232.SZ,启明信息,10.0,12571.37,2.25,,217544.76,额度充足,8174266
003,2025-08-27 00:00:00,,,,,,,002250.SZ,联化科技,10.01,12295.07,-1.43,,217626.19,额度充足,7933984
003,2025-08-26 00:00:00,,,,,,,002261.SZ,拓维信息,10.0,12473.17,0.26,,197534.23,额度充足,7152340
003,2025-08-25 00:00:00,,,,,,,300192.SZ,科德教育,20.01,12441.07,2.26,,213937.14,额度充足,7526252
003,2025-08-22 00:00:00,,,,,,,300192.SZ,科德教育,20.01,12166.06,2.07,,169807.67,额度充足,6279970
003,2025-08-21 00:00:00,,,,,,,000650.SZ,仁和药业,10.03,11919.76,-0.06,,167231.23,额度充足,6466096
003,2025-08-20 00:00:00,,,,,,,000650.SZ,仁和药业,10.0,11926.74,0.89,,160808.45,额度充足,6366001
003,2025-08-19 00:00:00,,,,,,,003019.SZ,宸展光电,10.0,11821.63,-0.12,,170486.3,额度充足,6441756
003,2025-08-18 00:00:00,,,,,,,002052.SZ,同洲电子,10.01,11835.57,1.73,,183230.22,额度充足,6665510
003,2025-08-15 00:00:00,,,,,,,002782.SZ,可立克,10.02,11634.67,1.6,,149139.27,额度充足,5920508
