Date,Close_AGG,Close_DIA,Close_EEM,Close_EFA,Close_FXI,Close_GLD,Close_HYG,Close_IEF,Close_IWM,Close_LQD,Close_QQQ,Close_SLV,Close_SPY,Close_TLT,Close_USO,Close_VWO,Close_VXX,Close_XLB,Close_XLE,Close_XLF,Close_XLI,Close_XLK,Close_XLP,Close_XLRE,Close_XLU,Close_XLV,Close_XLY,Dollar_Volume_AGG,Dollar_Volume_DIA,Dollar_Volume_EEM,Dollar_Volume_EFA,Dollar_Volume_FXI,Dollar_Volume_GLD,Dollar_Volume_HYG,Dollar_Volume_IEF,Dollar_Volume_IWM,Dollar_Volume_LQD,Dollar_Volume_QQQ,Dollar_Volume_SLV,Dollar_Volume_SPY,Dollar_Volume_TLT,Dollar_Volume_USO,Dollar_Volume_VWO,Dollar_Volume_VXX,Dollar_Volume_XLB,Dollar_Volume_XLE,Dollar_Volume_XLF,Dollar_Volume_XLI,Dollar_Volume_XLK,Dollar_Volume_XLP,Dollar_Volume_XLRE,Dollar_Volume_XLU,Dollar_Volume_XLV,Dollar_Volume_XLY,Volume_AGG,Volume_DIA,Volume_EEM,Volume_EFA,Volume_FXI,Volume_GLD,Volume_HYG,Volume_IEF,Volume_IWM,Volume_LQD,Volume_QQQ,Volume_SLV,Volume_SPY,Volume_TLT,Volume_USO,Volume_VWO,Volume_VXX,Volume_XLB,Volume_XLE,Volume_XLF,Volume_XLI,Volume_XLK,Volume_XLP,Volume_XLRE,Volume_XLU,Volume_XLV,Volume_XLY
2020-01-02,112.68000030517578,288.6199951171875,45.779998779296875,70.13999938964844,44.880001068115234,143.9499969482422,88.30999755859375,110.7300033569336,165.77999877929688,128.22999572753906,216.16000366210938,16.809999465942383,324.8699951171875,137.00999450683594,102.4800033569336,45.529998779296875,928.6400146484375,30.350000381469727,30.290000915527344,31.079999923706055,83.01000213623047,46.69499969482422,62.47999954223633,38.220001220703125,31.905000686645508,102.12999725341797,63.45500183105469,765254954.0725708,1115660591.1254883,3596939082.0892334,1735915886.894226,1146787251.292801,1113280486.3983154,1391465307.5317383,445389292.502594,3033359527.6641846,1968163735.4232788,6694345617.41333,226684523.79817963,19216450055.17578,1511781980.3878784,160241627.48902893,611349505.6091309,410812698.3201904,446594185.61325073,723609947.8713989,896449761.7994308,1338229147.4388123,1240546056.892395,903504529.3804169,167407427.34680176,1219262363.2404327,641110844.758606,798961928.0548096,6791400,3865500,78570100,24749300,25552300,7733800,15756600,4022300,18297500,15348700,30969400,13485100,59151200,11034100,1563638,13427400,442381,14714800,23889400,28843300,16121300,26567000,14460700,4380100,38215400,6277400,12591000
2020-01-03,113.01000213623047,286.32000732421875,44.93000030517578,69.2699966430664,43.90999984741211,145.86000061035156,88.22000122070312,111.47000122070312,165.1300048828125,128.6699981689453,214.17999267578125,16.84000015258789,322.4100036621094,139.1199951171875,105.44000244140625,44.720001220703125,978.5599975585938,29.860000610351562,30.200000762939453,30.75,82.8499984741211,46.16999816894531,62.380001068115234,38.5,31.969999313354492,101.23999786376953,62.915000915527344,414102550.8277893,943911168.145752,3549389150.1083374,2072662204.5555115,919888150.8033752,1790110615.4907227,1529928905.1696777,428000216.6870117,3186282522.216797,1300969484.4863892,5893997800.445557,227752582.06367493,25054384661.58142,1720357859.6191406,456075458.56018066,559071567.2607422,736314534.4829712,741913519.1650391,1781975205.0178528,1579430700.0,1455782178.188324,1386189557.0251465,1646139610.186386,134711500.0,1150235817.295456,834976882.3814392,704195022.2473145,3664300,3296700,78998200,29921500,20949400,12272800,17342200,3839600,19295600,10110900,27518900,13524500,77709700,12366000,4325450,12501600,752447,24846400,59005800,51363600,17571300,30023600,26388900,3499000,35978600,8247500,11192800
2020-01-06,112.91999816894531,286.9800109863281,44.81999969482422,69.54000091552734,44.119998931884766,147.38999938964844,88.12999725341797,111.3499984741211,165.35000610351562,128.24000549316406,215.55999755859375,16.940000534057617,323.6400146484375,138.3300018310547,105.27999877929688,44.63999938964844,965.1199951171875,29.729999542236328,30.434999465942383,30.729999542236328,82.87999725341797,46.279998779296875,62.5099983215332,38.5099983215332,32.0,101.87000274658203,63.09000015258789,918220257.1105957,472110816.0736084,1796623133.7669373,1574135276.7242432,559781310.4480743,2122902378.2089233,1580778947.7348328,302237300.8583069,2835901419.680786,1781805108.3236694,4668016415.130615,305922857.6446533,18011829011.242676,1572784454.8187256,273560917.46810913,460466057.7041626,392942815.2919922,937351209.5672607,1367024523.0121613,859090940.202713,1338768883.6341858,723356380.9204102,1409081629.164505,119273166.80145264,668448000.0,656226183.6929321,809015689.956665,8131600,1645100,40085300,22636400,12687700,14403300,17936900,2714300,17150900,13894300,21655300,18059200,55653900,11369800,2598413,10315100,407144,31528800,44916200,27956100,16153100,15630000,22541700,3097200,20889000,6441800,12823200
2020-01-07,112.80000305175781,285.739990234375,44.790000915527344,69.3499984741211,44.0099983215332,147.97000122070312,88.05000305175781,111.19000244140625,164.8000030517578,127.91000366210938,215.52999877929688,17.170000076293945,322.7300109863281,137.64999389648438,105.04000091552734,44.619998931884766,960.6400146484375,29.69499969482422,30.354999542236328,30.530000686645508,82.70999908447266,46.2599983215332,62.029998779296875,38.09000015258789,31.954999923706055,101.66999816894531,62.9900016784668,325202408.7982178,403750606.2011719,2942940447.154999,1047705101.9477844,709203518.952179,1180578654.73938,848828444.4198608,226694176.97753906,1947589956.0653687,1050358577.0721436,4771683301.974487,264002487.17308044,13069403616.906738,1153672128.8452148,182987559.5949173,529161953.332901,410299917.2965088,1203651178.630066,695888364.5057678,1209827602.2100449,1379222318.7332153,710720110.2127075,968139408.9477539,135242354.54177856,835322871.0056305,644109939.3997192,1152817814.718628,2883000,1413000,65705300,15107500,16114600,7978500,9640300,2038800,11817900,8211700,22139300,15375800,40496400,8381200,1742075,11859300,427111,40533800,22925000,39627500,16675400,15363600,15607600,3550600,26140600,6335300,18301600
2020-01-08,112.66999816894531,287.3999938964844,45.04999923706055,69.55000305175781,43.97999954223633,146.86000061035156,88.12999725341797,110.93000030517578,165.30999755859375,127.7300033569336,217.14999389648438,16.93000030517578,324.45001220703125,136.74000549316406,101.27999877929688,44.81999969482422,947.2000122070312,29.799999237060547,29.854999542236328,30.729999542236328,82.98999786376953,46.755001068115234,62.2599983215332,38.279998779296875,31.940000534057617,102.33000183105469,63.18000030517578,825093663.5910034,901487560.8551025,3915444098.6904144,991052768.486023,1215611585.3473663,3267414723.5794067,1417844208.8127136,563646424.5506287,2286634010.229492,1567055546.1845398,5732173533.883667,506586241.1315918,22158638033.691406,1452411316.3467407,700698075.554657,498116030.6083679,714136713.2034302,481544147.6715088,1135767776.5853882,1474013596.042633,886142300.1899719,1087259496.838379,712964144.7792053,194806913.7878418,813920645.6092834,766932664.7232056,597164726.8844604,7323100,3136700,86913300,14249500,27640100,22248500,16088100,5081100,13832400,12268500,26397300,29922400,68296000,10621700,6918425,11113700,753945,16159200,38042800,47966600,10677700,23254400,11451400,5089000,25482800,7494700,9451800
2020-01-09,112.79000091552734,289.55999755859375,45.349998474121094,69.70999908447266,44.380001068115234,146.02999877929688,88.36000061035156,111.01000213623047,165.50999450683594,128.33999633789062,218.99000549316406,16.719999313354492,326.6499938964844,137.22000122070312,99.91999816894531,45.04999923706055,907.52001953125,29.90999984741211,30.075000762939453,30.920000076293945,83.33999633789062,47.28499984741211,62.70000076293945,38.27000045776367,32.1150016784668,102.7699966430664,63.51499938964844,1027618419.3412781,516314431.6467285,2412615383.823395,958449748.412323,1067299083.6872101,1502984556.4361572,1471149830.1620483,408583413.86260986,1968807588.6566162,1850033881.2103271,5156557659.347534,247170077.84938812,15833803149.142456,1017006039.0472412,343669837.70217896,807498711.3246918,454992421.95214844,226490482.84454346,924313043.447876,856647878.1137466,617316020.8740234,735508715.6265259,429777155.2295685,110408951.3206482,747836352.0851135,684509839.6408081,485445140.335083,9110900,1783100,53199900,13749100,24049100,10292300,16649500,3680600,11895400,14415100,23547000,14782900,48473300,7411500,3439450,17924500,501358,7572400,30733600,27705300,7407200,15554800,6854500,2885000,23286200,6660600,7643000
2020-01-10,112.9800033569336,288.239990234375,45.59000015258789,69.44999694824219,44.52000045776367,146.91000366210938,88.38999938964844,111.25,164.88999938964844,128.6999969482422,218.42999267578125,16.889999389648438,325.7099914550781,138.44000244140625,99.27999877929688,45.27000045776367,903.6799926757812,29.790000915527344,29.905000686645508,30.690000534057617,82.75,47.17499923706055,62.65999984741211,38.63999938964844,32.20000076293945,102.80000305175781,63.16999816894531,474301352.0927429,861722274.8046875,3080666757.3108673,2349653131.752014,947563689.743042,908388625.6439209,1430406521.1227417,289250000.0,2531556160.6292725,1063512424.7817993,4783289194.610596,158728836.2640381,17272172849.868774,1214949461.4257812,200222937.53814697,673943550.8148193,464760812.87316895,335876302.3223877,547333284.5672607,1026832175.8686066,732900200.0,723221043.3036804,464360726.86920166,251670044.0246582,681538776.1482239,956070868.3822632,467900176.4373779,4198100,2989600,67573300,33832300,21284000,6183300,16182900,2600000,15353000,8263500,21898500,9397800,53029300,8776000,2016750,14887200,514298,11274800,18302400,33458200,8856800,15330600,7410800,6513200,21165800,9300300,7407000
2020-01-13,112.91000366210938,289.0199890136719,46.29999923706055,69.80999755859375,45.279998779296875,145.82000732421875,88.38999938964844,111.12000274658203,165.9600067138672,128.38999938964844,220.9499969482422,16.780000686645508,327.95001220703125,138.02000427246094,97.5999984741211,45.88999938964844,880.6400146484375,30.174999237060547,29.915000915527344,30.899999618530273,83.43000030517578,47.76499938964844,63.06999969482422,39.11000061035156,32.39500045776367,102.44000244140625,63.369998931884766,504177039.352417,422922949.92370605,3685192879.2747498,1147885789.855957,1393650442.4285889,1107327971.6186523,1570018525.1586914,296979319.34051514,2866311871.9558716,574853383.2672119,5028136985.551453,178357983.29849243,15442116634.79004,823551563.4933472,278992035.638237,411812265.5227661,387499219.24560547,266101248.27194214,525217671.0739136,851069419.4932938,658579736.4089966,741522956.5246582,607092896.0624695,116864592.8237915,820960580.6007385,780766966.607666,408685797.11151123,4465300,1463300,79593800,16443000,30778500,7593800,17762400,2672600,17271100,4477400,22756900,10629200,47086800,5966900,2858525,8973900,440020,8818600,17557000,27542700,7893800,15524400,9625700,2988100,25342200,7621700,6449200
2020-01-14,113.01000213623047,289.2200012207031,46.040000915527344,69.87999725341797,44.81999969482422,145.69000244140625,88.37999725341797,111.33999633789062,166.57000732421875,128.5500030517578,220.0800018310547,16.6200008392334,327.45001220703125,138.72999572753906,98.23999786376953,45.68000030517578,874.239990234375,30.049999237060547,29.920000076293945,30.84000015258789,83.44000244140625,47.540000915527344,63.09000015258789,38.91999816894531,32.4900016784668,103.05999755859375,63.349998474121094,409706461.74468994,635850172.6837158,3487387345.348358,2014402728.8253784,1794695873.7800598,960053409.0881348,2576904417.917633,264577233.2977295,3052062244.20166,1422572898.7716675,5373935492.710876,202242142.21229553,20574601127.001953,1931163159.526062,229558680.1282425,606680652.0530701,455723822.109375,330856501.59988403,1037565762.6457214,1158825341.733551,805145959.5581055,767038898.7716675,473951008.146286,144790177.18811035,746945138.5879517,751812376.1901855,549954006.75354,3625400,2198500,75746900,28826600,40042300,6589700,29157100,2376300,18323000,11066300,24418100,12168600,62832800,13920300,2336713,13281100,521280,11010200,34678000,37575400,9649400,16134600,7512300,3720200,22990000,7294900,8681200
2020-01-15,113.18000030517578,290.3500061035156,45.68000030517578,69.87999725341797,44.56999969482422,146.5399932861328,88.4000015258789,111.62000274658203,167.3699951171875,128.8300018310547,220.1699981689453,16.809999465942383,328.19000244140625,139.64999389648438,97.44000244140625,45.38999938964844,871.6799926757812,30.2549991607666,29.700000762939453,30.670000076293945,83.56999969482422,47.595001220703125,63.540000915527344,39.189998626708984,32.94499969482422,103.94999694824219,63.20500183105469,440983235.1890564,637347298.3978271,2769149026.499939,853786818.4425354,852017942.1661377,953975356.2927246,2177990397.594452,305258383.51135254,2583724088.623047,1122418507.9528809,5667638109.864807,184051003.15265656,23648255729.919434,878468286.605835,183358991.31414795,593002186.026001,413926833.00201416,235898228.4564972,643349536.5264893,1271495394.162941,1004051761.3334656,686177132.598877,791346233.4022522,175128346.86317444,1046721941.3040161,781891087.0452881,412336790.9454346,3896300,2195100,60620600,12217900,19116400,6510000,24637900,2734800,15437200,8712400,25742100,10948900,72056600,6290500,1881763,13064600,474861,7797000,21661600,41457300,12014500,14417000,12454300,4468700,31771800,7521800,6523800
2020-01-16,113.18000030517578,292.92999267578125,45.970001220703125,70.16999816894531,44.900001525878906,146.30999755859375,88.43000030517578,111.38999938964844,169.52999877929688,129.00999450683594,222.27999877929688,16.770000457763672,330.9200134277344,139.2100067138672,98.31999969482422,45.619998931884766,850.5599975585938,30.434999465942383,29.75,30.940000534057617,84.4000015258789,48.23500061035156,63.709999084472656,39.540000915527344,33.150001525878906,104.48999786376953,63.77000045776367,317062452.85491943,738769441.5283203,2331262880.9051514,904028154.40979,826694338.0943298,887970006.1828613,1976339762.8204346,245113693.6569214,3386565161.61499,1796606084.501648,4179975377.0446777,140473908.8344574,17886326001.77307,946433151.6448975,192787133.56160736,666982632.383728,366316628.0685425,572171902.9598236,489357750.0,1065697378.3950806,801234534.4856262,556786259.0454102,512776298.6312866,167827533.8859558,722590473.260498,572594739.2936707,554735233.9820862,2801400,2522000,50712700,12883400,18411900,6069100,22349200,2200500,19976200,13926100,18805000,8376500,54050300,6798600,1960813,14620400,430677,18799800,16449000,34444000,9493300,11543200,8048600,4244500,21797600,5479900,8699000
2020-01-17,113.05000305175781,293.2699890136719,46.22999954223633,70.37999725341797,45.11000061035156,146.5800018310547,88.36000061035156,111.30000305175781,169.07000732421875,128.99000549316406,223.3800048828125,16.81999969482422,331.95001220703125,138.02000427246094,98.63999938964844,45.90999984741211,852.47998046875,30.56999969482422,29.559999465942383,31.030000686645508,84.41000366210938,48.560001373291016,63.81999969482422,39.59000015258789,33.380001068115234,104.48999786376953,63.994998931884766,339523074.16534424,629767974.407959,3346224449.866104,1300178955.2604675,814758787.0239258,1630130858.3633423,2617815230.0827026,292385108.0169678,3095063182.080078,1770748997.4090576,5433763294.775391,207545340.234375,31816080869.995117,1337841703.413391,219056060.96455383,601182266.0018921,446092544.01953125,333041804.67529297,704065979.2797089,1204566008.6551666,592001119.6838379,1051858189.7468567,951090309.4520569,119351973.46000671,885157516.3238525,682674952.0431519,862217419.6090698,3003300,2147400,72382100,18473700,18061600,11121100,29626700,2627000,18306400,13727800,24325200,12339200,95846000,9693100,2220763,13094800,523288,10894400,23818200,38819400,7013400,21661000,14902700,3014700,26517600,6533400,13473200
2020-01-21,113.37000274658203,291.8299865722656,45.060001373291016,69.81999969482422,42.9900016784668,146.74000549316406,88.16999816894531,111.73999786376953,167.6699981689453,129.61000061035156,223.27999877929688,16.639999389648438,331.29998779296875,139.47000122070312,97.91999816894531,44.77000045776367,859.52001953125,30.239999771118164,29.030000686645508,30.770000457763672,83.4800033569336,48.540000915527344,64.04000091552734,39.9900016784668,33.685001373291016,104.5999984741211,63.79999923706055,529675989.8323059,1306493666.885376,4806216902.47879,1398257205.8883667,2644671820.256424,893074347.4319458,1739144396.8826294,263214738.9678955,3007178184.159851,2178394163.258362,4721545838.1866455,227054455.6716919,25756056170.996094,947684711.2945557,167407749.82955933,651130409.6576691,556106874.0766602,230271550.2571106,1007608099.8329163,1270077923.8948822,1085657443.6569214,872506516.456604,723671222.3457336,93156708.9099884,1608559870.5787659,695046069.8608398,510642433.8935852,4672100,4476900,106662600,20026600,61518300,6086100,19724900,2355600,17935100,16807300,21146300,13645100,77742400,6794900,1709638,14543900,646997,7614800,34709200,41276500,13005000,17975000,11300300,2329500,47753000,6644800,8003800
