datetime,content,title
2021-06-30 23:58:36,市场消息：8月份，支撑布伦特基准原油的5种等级北海原油的供应量平均为79.4万桶/天，而7月份为75.5万桶/天。,
2021-06-30 23:52:24,巴哈马央行行长：巴哈马着眼于数字货币的积极营销。,
2021-06-30 23:52:19,现货钯金上涨3%至2759美元/盎司。,
2021-06-30 23:50:45,7月俄罗斯Novorossiisk港口的乌拉尔和西伯利亚轻油出口量下降8万吨至134万吨。,
2021-06-30 23:45:56,市场消息：iPhone 12系列销量超过1亿部，比iPhone 11快两个月达到这一水平。,
2021-06-30 23:44:43,【杰富瑞：美国财政部可能从本周开始减少国库券供应】杰富瑞经济学家Thomas Simons表示，美国财政部可能最早本周开始削减国库券发行规模，因为该部门将力争在7月底债务上限到期前将现金余额降至目标水平。在这段时间里，国库券供应可能下降多达2000亿至3000亿美元，具体取决于当月税收收入的多寡和支出速度。在供应短缺的国库券市场，上述预期是“最糟糕的假设情况”。鉴于国库券供应即将下降，对美联储逆回购操作的需求料将继续飙升。,
2021-06-30 23:44:17,  【欧洲主要股指集体收跌 德国DAX30指数跌0.99%】欧洲主要股指集体收跌，德国DAX30指数跌0.99%，意大利富时MIB指数跌1.02%，法国CAC40指数跌0.91%，欧洲斯托克50指数跌幅0.96%。,
2021-06-30 23:44:10,市场消息：由于芯片短缺，福特汽车的数家工厂将在7月份停产或减产。,
2021-06-30 23:37:02,英国政府：不会在“绿色债券”框架下资助核能产业。,
2021-06-30 23:36:58,英国政府发布绿色债券融资框架。,
2021-06-30 23:36:52,6月欧洲医疗保健类股表现最佳，累涨6.7%；旅游休闲类股表现最差，累跌4.8%。,
2021-06-30 23:36:45,欧洲斯托克600指数本月累涨1.5%，为连续第五个月录得上涨。,
2021-06-30 23:32:46,  Masimo投诉：苹果公司Apple Watch产品涉嫌侵犯五种专利。,
2021-06-30 23:31:46,意大利报告新增776例新冠肺炎确诊病例，新增24例死亡病例。,
2021-06-30 23:28:41,穆迪：欧盟复苏基金只能部分满足绿色投资需求，对信贷产生的影响因行业而异。,
2021-06-30 23:26:51,纳斯达克生物科技指数上涨0.8%，表现强于大盘。,
2021-06-30 23:26:46,德国财政部：德国将对初创企业的大流行援助延长至2021年底。,
2021-06-30 23:26:34,  中国恒大在港交所公告称，公司及其控股股东与部分投资方订立修订协议，修订与相关投资方订立的投资协议中的回购义务。,
2021-06-30 23:25:55,【沃尔沃与谷歌深入合作，成为首家搭载原生安卓系统车企】6月30日消息，在2021年沃尔沃汽车日活动中，沃尔沃方面宣布将继续与谷歌展开深度合作，并成为首家搭载内置原生安卓系统的车企，同时将车内信息娱乐与互联体验提升至新的水平。,
2021-06-30 23:22:35,市场消息：滴滴的开盘价预计为15至16美元/ADS，IPO定价为14美元/ADS。,
2021-06-30 23:21:54,  桥水创始人Dalio在卡塔尔经济论坛上表示，他担心在高流动性和低利率环境下可能出现房地产泡沫。他警告称，美联储可能很难进行不会引发负面经济后果的加息。,
2021-06-30 23:15:44,【瑞银上调欧元区2021年经济增长预期】Reinhard Cluse等瑞银经济学家在报告中写道，放宽防疫限制会导致第二季度和第三季度欧元区经济反弹比先前预期的“强一些”，将欧元区2021年经济增长预期从4.3%上调至5.1%，对2022年增速的预测保持在5.3%不变。预计经济将在2021年第四季度达到疫情前水平，比此前预期早一个季度，但德尔塔毒株对经济构成下行风险。预计11月通胀达到2.6%的峰值，该预期存在上行风险，2022年平均通胀率预计下降至1.2%。,
2021-06-30 23:10:44,泛美卫生组织：在拉丁美洲和加勒比地区，只有十分之一的人完全接种了疫苗。,
2021-06-30 23:10:40,泛美卫生组织：美国、加拿大和墨西哥的新增新冠肺炎确诊病例都在下降，尽管墨西哥一些州的病例有所上升。,
2021-06-30 23:10:26,美国众议院议长佩洛西：众议院民主党人对基础设施协议很满意。,
2021-06-30 23:05:13, 比特币日内跌幅扩大至近5%，现报34310美元/枚。,
2021-06-30 23:05:13, 比特币日内跌幅扩大至近5%，现报34310美元/枚。,
2021-06-30 23:03:03,英国报告新增26068例新冠肺炎确诊病例，新增14例死亡病例。,
2021-06-30 23:03:03,英国报告新增26068例新冠肺炎确诊病例，新增14例死亡病例。,
2021-06-30 23:01:42,【美国金融业监管局对Robinhood开出7000万美元罚单】根据美国金融业监管局的公告，美股经纪商Robinhood存在系统性监管失效，被责令支付约7000万美元的罚款和赔偿，处罚包括5700万美元罚款和大约1260万美元赔偿。这是美国金融业监管局有史以来开出的最大罚单，说明了违规的范围和严重性。Robinhood既不承认也不否认指控，但同意接受处罚。监管局发现Robinhood自2016年9月以来的某些时期“不小心向客户传达了虚假和误导性的信息”；没有对期权交易进行尽职调查；未能合理监督经纪交易商服务技术；没有报告数以万计的客户投诉。,
2021-06-30 23:00:55,  【大商所、郑商所夜盘收盘 塑料涨超1%】大商所、郑商所夜盘收盘，多数品种上涨，EB、塑料等涨超1%，郑煤、纯碱等小幅上涨；郑棉、棉纱等小幅下跌。,
2021-06-30 23:00:08,非美货币普遍走低，欧元兑美元EUR/USD短线走低逾20点，英镑兑美元GBP/USD短线走低25点。,
2021-06-30 23:00:08,非美货币普遍走低，欧元兑美元EUR/USD短线走低逾20点，英镑兑美元GBP/USD短线走低25点。,
2021-06-30 23:00:03,美元兑加元USD/CAD短线走高近50点，最高至1.2405。,
2021-06-30 22:58:42,美元指数DXY短线走高近20点，现报92.39。,
2021-06-30 22:58:35,美元兑日元USD/JPY日内涨幅扩大至0.50%，现报111.03。,
2021-06-30 22:56:42,现货黄金短线走高近5美元，现报1767.3美元/盎司。,
2021-06-30 22:56:35,【波罗的海干散货指数终结5个交易日的上涨 因海岬型船运价下跌】波罗的海干散货指数在周三录得下跌35点或1%，至3383点，因海岬型船的需求走软。海岬型船运价指数跌205点或5%，报3931点；日均获利减少1695美元至32604美元。巴拿马型船运价指数涨109点或2.7%，报4119点，为连续第二个季度录得上涨，累计涨幅达约60%，日均获利增加987美元至37074美元。超灵便型船运价指数上涨9点，至2930点。,
2021-06-30 22:53:09,市场消息：美国金融业监管局启动了一项3000万美元的计划，以对新的散户投资者进行教育。,
2021-06-30 22:52:46,欧盟委员会副主席谢夫乔维奇：对冷冻肉的宽限期只是暂时的解决办法。,
2021-06-30 22:52:46,欧盟委员会副主席谢夫乔维奇：对冷冻肉的宽限期只是暂时的解决办法。,
2021-06-30 22:52:25,据联合国最新报告，由于国际旅游业的崩溃，新冠疫情将在2020年和2021年给全球经济造成高达4万亿美元的损失。国际入境人数的下降导致2020年损失2.4万亿美元，2021年预计也将是类似情况，全球复苏在很大程度上取决于新冠疫苗的使用。由于疫苗分配不均，发展中国家的情况仍然黯淡。虽然旅游行业预计将在西欧和美国等疫苗接种率高的国家更快地反弹，但专家预计，该行业要到2023年或更晚才能恢复到疫情前水平。土耳其是报告中可能受打击最严重的国家，因旅游业造成的GDP损失达到逾9%。,
2021-06-30 22:50:33,【备案终于开闸 两种化妆品新原材料获批】据报道，近日，国家药监局公布了2种新增的化妆品原料备案信息，分别是N-乙酰神经氨酸、月桂酰丙氨酸。N-乙酰神经氨酸，又称为唾液酸、燕窝酸。化妆品事关“脸面”，安全至关重要，所以对原料的要求极为严格。在2009-2019期间，我国获批的化妆品新原料仅4个。像燕窝酸是可用于食品领域的。备案获批，相关公司有望借化妆品新规的契机，展开相关产品在化妆品领域的相关应用，开启在化妆品领域的新篇章。（中证资讯）,
2021-06-30 22:46:30,【机动车排放召回即将正式实施 碳中和背景下产业链公司迎来机遇】据报道，市场监管总局联合生态环境部发布的《机动车排放召回管理规定》将产品召回由安全召回扩展至排放召回，这一规定将于7月1日起正式实施。业内认为，机动车排放召回符合我国低碳经济发展的要求，也是践行碳中和、碳达峰的务实之举。短期内会给排放技术水平较低的企业带来较大压力。但从长期来看，会倒逼企业主动进行技术升级。随着新规的正式实施及我国碳中和政策的实施，产业链相关公司望迎来机遇。,
2021-06-30 22:45:00,美国驻联合国副特使：最近几轮维也纳会谈“帮助明确了”伊朗和美国在重返核协议上所需要做出的选择。,
2021-06-30 22:43:00,美国能源信息署（EIA）：上周美国原油制品供应量升至2020年3月以来的最高水平。,
2021-06-30 22:43:00,美国能源信息署（EIA）：上周美国原油制品供应量升至2020年3月以来的最高水平。,
2021-06-30 22:42:19,美国金融业监管局(FINRA) ：美股经纪商Robinhood没有合理地监督经纪商和交易商相关的技术。,
2021-06-30 22:41:20,市场消息：苹果将于7月27日公布第三季度财报。,
2021-06-30 22:40:19,美国能源信息署（EIA）：美国中西部炼油厂利用率在上周升至2019年9月以来的最高水平。,
2021-06-30 22:40:19,美国能源信息署（EIA）：美国中西部炼油厂利用率在上周升至2019年9月以来的最高水平。,
2021-06-30 22:40:11,美国金融业监管局(FINRA) ：美股经纪商Robinhood向用户传达了虚假的误导性信息。,
2021-06-30 22:39:37,"【滴滴今晚在纽交所挂牌上市：每股定价14美元 至少募资44亿美元】滴滴今晚正式在纽交所挂牌上市，股票代码为 ""DIDI""。高盛、摩根士丹利、摩根大通、华兴资本担任承销商。据悉，滴滴本次IPO的承销商名单中还有多家中资机构，包括中金、中银国际、交银国际、建银国际、招银国际、工银国际和国泰君安国际等。本次IPO中，滴滴发行价定为14美元，位于13-14美元/ ADS的发行区间上限。滴滴发行3.17亿股ADS，比原计划的2.88亿股多10%。以14美元的发行价计算，滴滴此次至少募资44亿美元，其IPO的估值超670亿美元。另据知情人士透露，滴滴完全稀释后的估值（通常包括限制性股票单位）或超700亿美元。",
2021-06-30 22:38:21,美国金融业监管局(FINRA) ：美股经纪商Robinhood没有上报客户的书面投诉。,
2021-06-30 22:38:13,  美股芯片股多数下跌，半导体板块ETF跌0.11%；AMD涨超4%，西部数据、美光科技涨超1%，此前BMO将美光科技评级上调至跑赢大盘，称该股可能会上涨超30%；意法半导体跌超2%，英特尔跌近2%，恩智浦、拉姆研究、科磊半导体均跌超1%。,
2021-06-30 22:38:13,  美股芯片股多数下跌，半导体板块ETF跌0.11%；AMD涨超4%，西部数据、美光科技涨超1%，此前BMO将美光科技评级上调至跑赢大盘，称该股可能会上涨超30%；意法半导体跌超2%，英特尔跌近2%，恩智浦、拉姆研究、科磊半导体均跌超1%。,
2021-06-30 22:36:41,市场消息：美股经纪商Robinhood因监管失误被美国金融业监管局(FINRA)责令罚款约7000万美元。,
2021-06-30 22:36:41,市场消息：美股经纪商Robinhood因监管失误被美国金融业监管局(FINRA)责令罚款约7000万美元。,
2021-06-30 22:35:10,美国能源信息署（EIA）：美国库欣原油库存在上周跌至2020年3月以来的最低水平。,
2021-06-30 22:35:10,美国能源信息署（EIA）：美国库欣原油库存在上周跌至2020年3月以来的最低水平。,
2021-06-30 22:34:45,美国能源信息署（EIA）：美国中西部石油库存降至2020年2月以来的最低水平。,
2021-06-30 22:34:45,美国能源信息署（EIA）：美国中西部石油库存降至2020年2月以来的最低水平。,
2021-06-30 22:34:35,美国至6月25日当周除却战略储备的商业原油库存为2020年3月6日当周以来最低。,
2021-06-30 22:34:35,美国至6月25日当周除却战略储备的商业原油库存为2020年3月6日当周以来最低。,
2021-06-30 22:31:45,  据港交所文件，中国蒙树生态集团有限公司向港交所提交上市申请书。,
2021-06-30 22:30:36,EIA报告：美国上周原油出口增加6.6万桶/日至371.7万桶/日。,
2021-06-30 22:30:36,EIA报告：美国上周原油出口增加6.6万桶/日至371.7万桶/日。,
2021-06-30 22:30:31,EIA报告：美国原油产品四周平均供应量为1998.4万桶/日，较去年同期增加13.3%。,
2021-06-30 22:30:31,EIA报告：美国原油产品四周平均供应量为1998.4万桶/日，较去年同期增加13.3%。,
2021-06-30 22:30:25,EIA报告：除却战略储备的商业原油上周进口640.6万桶/日，较前一周减少53.7万桶/日。,
2021-06-30 22:30:25,EIA报告：除却战略储备的商业原油上周进口640.6万桶/日，较前一周减少53.7万桶/日。,
2021-06-30 22:30:17,EIA报告：除却战略储备的商业原油库存减少671.8万桶至4.523亿桶，减少1.5%。,
2021-06-30 22:30:17,EIA报告：除却战略储备的商业原油库存减少671.8万桶至4.523亿桶，减少1.5%。,
2021-06-30 22:30:14,美国5月二手房签约销售指数环比意外增长8%，为近一年来最大涨幅。NAR首席经济学家称，由于抵押贷款利率下降（低于3%）以及房屋挂牌数量增加，房地产市场正在吸引买家。在近期股市上涨的帮助下，买家的兴趣依然强劲。,
2021-06-30 22:24:21,标普：预计在2022-2024年期间，美国经济将走强，但新兴市场将落后。,
2021-06-30 22:24:21,标普：预计在2022-2024年期间，美国经济将走强，但新兴市场将落后。,
2021-06-30 22:19:08,英国“脱欧”谈判首席代表弗罗斯特：政府正在通过联合委员会为这些问题制定长期可持续的解决方案。,
2021-06-30 22:19:01,英国“脱欧”谈判首席代表弗罗斯特：宽限期内将不要求英国其他地区与欧盟农业食品规定的任何变化保持一致。,
2021-06-30 22:18:26,  【蔚来涨幅扩大至5% 花旗提高蔚来目标价及销售预期】蔚来涨幅扩大至5%，花旗将蔚来汽车2021年销量预期从90000上调至93000辆，将2022年销量预期从155000辆上调至160000辆；将2022年目标价从58.30美元上调至72美元，维持买入评级。,
2021-06-30 22:18:19,【河北衡水冀州泰达生活垃圾焚烧发电项目首次并网成功】据天津泰达股份有限公司消息，6月30日，泰达环保衡水冀州泰达生活垃圾焚烧发电项目首次并网成功，项目建设、安装、调试质量均实现预期目标，为机组随即进行的168小时试运行奠定了坚实基础。,
2021-06-30 22:17:58,据Newzoo估计，中国在智能手机用户方面遥遥领先于其他国家。中国市场拥有超过9亿用户，比印度、美国和印度尼西亚的市场总和还要大，这说明了为什么苹果等公司满足中国消费者的需求如此重要。,
2021-06-30 22:17:19,英国、欧盟同意延长进入北爱尔兰的冷冻肉类海关检查宽限期。,
2021-06-30 22:16:40,  【宝莱特：林园投资持有“宝莱转债”比例达20%】宝莱特公告，今日公司收到深圳市林园投资管理有限责任公司通知，其于2020年9月29日至2021年6月30日通过深圳证券交易所交易系统以自主发行并管理的私募证券投资基金以集中竞价的方式买入宝莱转债共43.8万张，约占公司可转换公司债券发行总量的20%。,
2021-06-30 22:15:45,【中核集团：我国首台百吨级自主设计制造乏燃料运输容器下线】据中核集团消息，6月30日，我国自主设计制造的百吨级乏燃料运输容器——CNSC乏燃料运输容器顺利下线。作为国内首台批量化生产的国产化百吨级乏燃料运输容器，将进一步夯实中核集团乏燃料运输保障能力。（证券时报）,
2021-06-30 22:14:10,美元兑瑞郎USD/CHF日内涨0.50%，现报0.9252。,
