date,sentiment,机器人_热度,AI/DeepSeek_热度,半导体_热度,创新药_热度,军工_热度,商业航天_热度,新能源_热度,福建/台湾_热度,机器人_热度_pct,AI/DeepSeek_热度_pct,半导体_热度_pct,创新药_热度_pct,军工_热度_pct,商业航天_热度_pct,新能源_热度_pct,福建/台湾_热度_pct
2020-01-30,-110,0,0,8,22,24,0,0,46,,,,,,,,
2020-01-31,-60,0,0,4,16,20,2,4,40,,,-50.0,-27.27272727272727,-16.666666666666664,inf,inf,-13.043478260869568
2020-02-28,-152,8,2,36,24,20,0,2,8,inf,inf,800.0,50.0,0.0,-100.0,-50.0,-80.0
2020-02-29,-122,0,2,8,20,26,4,8,30,-100.0,0.0,-77.77777777777779,-16.666666666666664,30.000000000000004,inf,300.0,275.0
2020-03-30,-2,0,0,2,4,16,10,0,0,,-100.0,-75.0,-80.0,-38.46153846153846,150.0,-100.0,-100.0
2020-03-31,8,4,26,20,18,80,36,22,22,inf,inf,900.0,350.0,400.0,260.0,inf,inf
2020-04-29,-28,0,0,0,6,2,0,0,0,-100.0,-100.0,-100.0,-66.66666666666667,-97.5,-100.0,-100.0,-100.0
2020-04-30,-98,2,20,54,54,56,12,40,10,inf,inf,inf,800.0,2700.0,inf,inf,inf
2020-05-29,-4,0,6,6,4,40,2,8,6,-100.0,-70.0,-88.88888888888889,-92.5925925925926,-28.57142857142857,-83.33333333333334,-80.0,-40.0
2020-05-30,32,14,12,10,22,44,38,4,16,inf,100.0,66.66666666666667,450.0,10.000000000000009,1800.0,-50.0,166.66666666666666
2020-05-31,-26,0,2,14,12,26,94,10,2,-100.0,-83.33333333333334,39.99999999999999,-45.45454545454546,-40.90909090909091,147.3684210526316,150.0,-87.5
2020-06-29,2,0,0,0,0,0,0,0,0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2020-06-30,184,2,8,24,24,90,56,34,22,inf,inf,inf,inf,inf,inf,inf,inf
2020-07-30,-14,0,4,14,24,46,22,10,8,-100.0,-50.0,-41.666666666666664,0.0,-48.88888888888889,-60.71428571428572,-70.58823529411764,-63.63636363636363
2020-07-31,32,0,4,30,16,78,42,28,14,,0.0,114.28571428571428,-33.333333333333336,69.56521739130434,90.90909090909092,179.99999999999997,75.0
2020-08-29,6,0,4,0,8,4,0,2,0,,0.0,-100.0,-50.0,-94.87179487179486,-100.0,-92.85714285714286,-100.0
2020-08-30,0,0,2,18,14,36,8,6,44,,-50.0,inf,75.0,800.0,inf,200.0,inf
2020-08-31,142,4,12,44,34,112,42,30,24,inf,500.0,144.44444444444446,142.85714285714283,211.11111111111111,425.0,400.0,-45.45454545454546
2020-09-29,-2,0,2,6,12,26,14,16,4,-100.0,-83.33333333333334,-86.36363636363636,-64.70588235294117,-76.78571428571428,-66.66666666666667,-46.666666666666664,-83.33333333333334
2020-09-30,-24,0,4,44,18,92,26,68,28,,100.0,633.3333333333333,50.0,253.84615384615384,85.71428571428572,325.0,600.0
2020-10-30,-122,6,2,28,18,58,16,40,10,inf,-50.0,-36.36363636363637,0.0,-36.95652173913043,-38.46153846153846,-41.17647058823529,-64.28571428571428
2020-10-31,14,0,6,2,8,30,12,30,0,-100.0,200.0,-92.85714285714286,-55.55555555555556,-48.275862068965516,-25.0,-25.0,-100.0
2020-11-28,0,0,0,0,0,2,2,0,0,,-100.0,-100.0,-100.0,-93.33333333333333,-83.33333333333334,-100.0,
2020-11-29,-20,0,0,12,2,30,22,4,10,,,inf,inf,1400.0,1000.0,inf,inf
2020-11-30,126,4,14,36,16,56,30,60,20,inf,inf,200.0,700.0,86.66666666666667,36.36363636363635,1400.0,100.0
2020-12-30,56,0,10,26,10,24,12,48,10,-100.0,-28.57142857142857,-27.77777777777778,-37.5,-57.14285714285714,-60.0,-19.999999999999996,-50.0
2020-12-31,14,0,8,20,32,62,10,82,32,,-19.999999999999996,-23.076923076923073,220.00000000000003,158.33333333333334,-16.666666666666664,70.83333333333333,220.00000000000003
2021-01-29,-50,0,0,2,10,22,10,26,0,,-100.0,-90.0,-68.75,-64.51612903225806,0.0,-68.29268292682926,-100.0
2021-01-30,-90,0,2,20,14,46,36,36,6,,inf,900.0,39.99999999999999,109.09090909090908,260.0,38.46153846153846,inf
2021-01-31,-64,0,12,0,6,14,6,36,12,,500.0,-100.0,-57.14285714285714,-69.56521739130434,-83.33333333333334,0.0,100.0
2021-02-26,-46,0,0,2,0,0,0,14,0,,-100.0,inf,-100.0,-100.0,-100.0,-61.111111111111114,-100.0
2021-02-27,4,4,0,36,34,36,18,14,4,inf,,1700.0,inf,inf,inf,0.0,inf
2021-02-28,20,0,2,10,16,36,10,10,8,-100.0,inf,-72.22222222222221,-52.94117647058824,0.0,-44.44444444444444,-28.57142857142857,100.0
2021-03-31,58,2,26,78,18,100,40,52,22,inf,1200.0,680.0,12.5,177.77777777777777,300.0,420.0,175.0
2021-04-29,-76,0,0,2,6,4,4,2,6,-100.0,-100.0,-97.43589743589743,-66.66666666666667,-96.0,-90.0,-96.15384615384616,-72.72727272727273
2021-04-30,-44,12,8,44,14,78,30,50,8,inf,inf,2100.0,133.33333333333334,1850.0,650.0,2400.0,33.33333333333333
2021-05-29,4,0,2,6,0,14,28,10,10,-100.0,-75.0,-86.36363636363636,-100.0,-82.05128205128204,-6.666666666666665,-80.0,25.0
2021-05-30,-30,2,4,10,6,30,22,4,6,inf,100.0,66.66666666666667,inf,114.28571428571428,-21.42857142857143,-60.0,-40.0
