ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
300205.SZ,20260202,8361,364.75,6236,272.25,9374,408.6,9827,427.93,6887,302.35,8559,375.51,0,0.0,0,0.0,-1678,-68.42
300145.SZ,20260202,132990,6043.37,133529,6066.65,114646,5208.71,97260,4422.03,81164,3682.66,113414,5149.25,41421,1881.32,26018,1178.15,-70082,-3146.31
688173.SH,20260202,64149,10373.2,68049,11000.03,35320,5706.28,30270,4895.56,11829,1915.52,12687,2050.68,2000,319.0,2291,367.73,-5670,-918.58
300188.SZ,20260202,54005,7416.58,48176,6623.07,52821,7250.13,53449,7347.52,31050,4271.36,35903,4923.97,7655,1053.35,8003,1096.85,-12903,-1769.73
002774.SZ,20260202,32854,3675.61,20566,2300.99,20761,2320.61,21785,2437.0,8975,1002.99,18793,2100.36,0,0.0,1446,160.86,-20182,-2251.19
603859.SH,20260202,36106,16951.13,38852,18253.25,25645,12038.98,23996,11260.83,14338,6725.01,13109,6143.81,2980,1392.28,3111,1449.51,-12434,-5824.69
605186.SH,20260202,19562,4331.15,19491,4313.41,10520,2328.69,9646,2135.8,2152,476.01,2249,498.45,454,100.42,1302,288.63,-418,-85.16
600236.SH,20260202,107859,8822.94,101453,8293.95,49228,4000.24,54842,4467.89,24395,1981.27,16977,1380.76,7444,598.88,15654,1260.72,-16622,-1356.33
002167.SZ,20260202,210976,27437.68,154218,20097.65,157773,20546.14,143657,18698.33,86191,11230.47,115608,15038.66,19282,2534.5,60740,7914.15,-50335,-6466.92
605180.SH,20260202,19149,2974.45,19829,3078.29,9061,1405.79,7957,1236.67,1835,285.25,2259,350.53,0,0.0,0,0.0,-1444,-224.86
002558.SZ,20260202,164228,71661.29,169823,74432.9,151094,66154.03,151995,66607.74,105197,46249.95,102830,45273.06,58081,25980.66,53951,23732.23,-76917,-33347.35
600961.SH,20260202,14074,2904.87,1861,384.11,10802,2229.53,5142,1061.31,15084,3113.34,9815,2025.82,12810,2643.98,35952,7420.49,52746,10886.77
601811.SH,20260202,77988,12418.62,76497,12196.98,46498,7411.73,45706,7264.53,11675,1867.63,11941,1906.51,3795,606.53,5812,936.49,-4509,-715.94
300402.SZ,20260202,26786,5753.97,18722,4028.82,28595,6144.04,32055,6890.13,14434,3102.7,19335,4145.49,2740,588.56,2443,524.83,-7601,-1621.25
300984.SZ,20260202,8844,6586.59,8154,6077.3,5810,4328.71,5745,4284.84,5073,3768.7,4669,3468.75,1129,841.79,2288,1694.89,-2096,-1557.66
600157.SH,20260202,3138518,51276.67,3721757,60698.63,3094834,50635.78,2845358,46562.5,2481197,40624.43,2424253,39707.11,1801498,29481.83,1524679,25050.47,-4823922,-78509.28
688139.SH,20260202,16378,5368.27,17253,5653.71,10490,3436.9,8736,2863.38,5746,1882.68,6262,2054.15,1714,564.32,2077,680.94,-4260,-1385.97
000988.SZ,20260202,103971,79209.91,74978,57174.91,108126,82469.53,89823,68622.7,94203,71951.38,103968,79353.43,49707,38071.48,87238,66551.26,-84850,-64238.11
002356.SZ,20260202,193678,7633.86,116616,4602.83,154478,6098.91,113556,4478.78,70646,2791.84,124545,4917.39,20286,803.94,84371,3329.55,-104734,-4100.94
002203.SZ,20260202,217125,30028.95,166811,23061.38,155433,21541.69,194728,26975.3,125332,17334.87,118773,16464.46,19952,2783.81,37530,5188.18,-113622,-15665.33
688047.SH,20260202,23458,38347.35,22232,36364.5,31635,51732.96,31587,51663.43,17388,28454.23,18621,30471.9,7894,12962.83,7933,12997.53,-5051,-8159.02
301376.SZ,20260202,24645,4848.1,21777,4282.09,9105,1790.54,7710,1514.75,2758,544.23,5756,1134.9,0,0.0,1265,251.13,-4579,-891.56
601636.SH,20260202,370651,25274.47,341587,23282.19,203401,13875.57,208408,14222.89,77142,5263.3,80317,5476.76,13070,887.97,33953,2319.46,-70675,-4785.55
600419.SH,20260202,39705,3956.55,34983,3484.78,17840,1772.28,15599,1551.67,9571,950.01,16349,1624.06,0,0.0,184,18.31,-4539,-447.57
002027.SZ,20260202,476872,35118.6,621245,45775.59,512185,37701.21,678888,50003.12,493784,36343.51,612891,45155.18,827115,61042.37,396932,29271.79,332947,24609.64
002745.SZ,20260202,130431,12779.62,121610,11916.27,107440,10514.31,103908,10183.66,88025,8629.15,97993,9595.68,36929,3628.32,39314,3855.81,-27249,-2631.61
300865.SZ,20260202,8628,2497.37,7497,2170.26,4170,1206.23,5165,1495.32,1834,529.97,2242,646.66,1096,317.03,824,238.35,-530,-154.41
601901.SH,20260202,361835,28352.5,424622,33275.69,315096,24704.12,355487,27863.78,239749,18799.59,196139,15382.01,123510,9685.26,63942,5019.97,-214640,-16767.85
603661.SH,20260202,11887,4121.44,11721,4064.18,2311,800.88,3547,1230.17,3314,1147.86,2744,949.59,1086,374.75,586,201.0,-3630,-1257.68
300675.SZ,20260202,18622,3053.26,16322,2674.04,13904,2280.35,15161,2489.73,4648,763.29,6837,1122.03,1383,227.79,237,38.89,-691,-107.83
002272.SZ,20260202,72355,10737.21,86353,12823.06,53279,7908.83,44722,6638.63,30751,4565.82,26239,3897.74,11947,1778.27,11018,1630.7,-4752,-680.01
301181.SZ,20260202,7864,3115.4,7776,3081.0,3374,1335.92,3788,1499.48,1913,758.61,1587,629.44,0,0.0,0,0.0,-836,-329.63
688195.SH,20260202,3622,7810.4,4221,9088.44,50801,109621.11,51442,111020.89,38848,83970.92,36514,78904.69,14934,32268.58,16028,34657.0,5430,11853.14
688360.SH,20260202,16240,3119.92,20314,3901.86,12344,2367.9,10034,1926.89,5975,1147.05,5747,1104.3,2711,523.72,1174,225.53,-11325,-2170.65
002979.SZ,20260202,19068,7639.03,19994,8014.92,14698,5896.38,13541,5436.43,6658,2668.63,7640,3060.22,1672,674.62,920,367.09,-8635,-3444.43
603139.SH,20260202,19034,4435.01,18576,4326.42,6919,1610.99,6103,1422.93,2439,568.4,3169,737.86,0,0.0,544,127.19,-3391,-785.88
301047.SZ,20260202,5611,4138.66,4586,3387.45,3764,2775.28,3114,2298.27,1348,994.38,2971,2184.02,0,0.0,52,38.57,-1860,-1366.93
688168.SH,20260202,3424,2481.11,3920,2839.99,4583,3316.2,4069,2946.61,2748,1990.64,2495,1804.74,0,0.0,270,196.61,-2444,-1768.49
603536.SH,20260202,32718,3626.84,32566,3609.25,15001,1664.38,15458,1715.55,2797,310.86,2491,277.29,1068,118.12,1068,118.12,1981,225.38
002643.SZ,20260202,99106,16356.38,65590,10825.48,94846,15655.96,79375,13094.59,50470,8334.87,70166,11578.03,17319,2856.02,46610,7705.13,-82714,-13653.8
601156.SH,20260202,54489,9893.32,65063,11795.24,28760,5211.18,23060,4183.72,14798,2684.63,12350,2242.86,2426,432.69,0,0.0,-23658,-4265.12
