date,on,1w,2w,1m,3m,6m,9m,1y
20260202,1.365,1.485,1.509,1.55,1.5889,1.6069,1.6137,1.6248
20260130,1.328,1.58,1.598,1.551,1.589,1.609,1.617,1.628
20260129,1.368,1.572,1.591,1.552,1.591,1.608,1.618,1.629
20260128,1.366,1.527,1.596,1.5546,1.5947,1.6099,1.6189,1.6337
20260127,1.371,1.564,1.599,1.5556,1.5968,1.6094,1.624,1.637
20260126,1.42,1.543,1.599,1.5558,1.5978,1.6135,1.6269,1.639
20260123,1.396,1.491,1.577,1.5577,1.598,1.615,1.629,1.6441
20260122,1.413,1.497,1.59,1.557,1.598,1.616,1.6327,1.6458
20260121,1.322,1.488,1.597,1.559,1.6,1.62,1.637,1.648
20260120,1.374,1.483,1.582,1.56,1.6,1.62,1.638,1.649
20260119,1.318,1.467,1.501,1.557,1.6,1.62,1.639,1.649
20260116,1.325,1.47,1.496,1.558,1.6,1.62,1.64,1.65
20260115,1.374,1.485,1.555,1.5596,1.6,1.62,1.639,1.649
20260114,1.39,1.55,1.567,1.56,1.6,1.62,1.64,1.65
20260113,1.391,1.523,1.534,1.559,1.6,1.62,1.639,1.649
20260112,1.316,1.473,1.489,1.556,1.598,1.62,1.637,1.648
20260109,1.272,1.461,1.487,1.557,1.595,1.618,1.635,1.646
20260108,1.27,1.462,1.482,1.559,1.595,1.619,1.636,1.648
20260107,1.266,1.45,1.453,1.564,1.597,1.619,1.637,1.649
20260106,1.263,1.422,1.465,1.569,1.596,1.618,1.637,1.648
20260105,1.264,1.423,1.457,1.574,1.596,1.617,1.637,1.648
20260104,1.258,1.428,1.518,1.579,1.598,1.624,1.639,1.649
20251231,1.327,1.956,1.951,1.588,1.6,1.629,1.64,1.65
20251230,1.247,1.589,1.869,1.585,1.6,1.63,1.64,1.65
20251229,1.248,1.558,1.65,1.584,1.6,1.63,1.64,1.65
20251226,1.258,1.448,1.596,1.584,1.6,1.628,1.64,1.65
20251225,1.262,1.4,1.595,1.584,1.6,1.627,1.64,1.65
20251224,1.267,1.385,1.599,1.579,1.6,1.629,1.64,1.65
20251223,1.272,1.399,1.577,1.567,1.6,1.63,1.64,1.65
20251222,1.272,1.417,1.616,1.559,1.601,1.629,1.64,1.65
20251219,1.2733,1.4311,1.6078,1.5544,1.6022,1.6311,1.6411,1.6511
20251218,1.273,1.426,1.582,1.55,1.603,1.633,1.643,1.653
