ts_code,exchange,name,per_unit,opt_code,opt_type,call_put,exercise_type,exercise_price,s_month,maturity_date,list_price,list_date,delist_date,last_edate,last_ddate,quote_unit,min_price_chg
10010979.SH,SSE,华夏上证50ETF期权2609认购3.50,10000.0,OP510050.SH,ETF期权,C,欧式,3.5,202609,20260923,0.1135,20260129,20260923,20260923,20260924,人民币元,0.0001
10010992.SH,SSE,华泰柏瑞沪深300ETF期权2609认购4.60,10000.0,OP510300.SH,ETF期权,C,欧式,4.6,202609,20260923,0.4157,20260129,20260923,20260923,20260924,人民币元,0.0001
10011036.SH,SSE,华夏上证科创板50ETF期权2609认沽1.55,10000.0,OP588000.SH,ETF期权,P,欧式,1.55,202609,20260923,0.1318,20260129,20260923,20260923,20260924,人民币元,0.0001
10010985.SH,SSE,华夏上证50ETF期权2609认沽3.20,10000.0,OP510050.SH,ETF期权,P,欧式,3.2,202609,20260923,0.2069,20260129,20260923,20260923,20260924,人民币元,0.0001
10011071.SH,SSE,南方中证500ETF期权2609认购7.50,10000.0,OP510500.SH,ETF期权,C,欧式,7.5,202609,20260923,1.3299,20260130,20260923,20260923,20260924,人民币元,0.0001
10010994.SH,SSE,华泰柏瑞沪深300ETF期权2609认购4.80,10000.0,OP510300.SH,ETF期权,C,欧式,4.8,202609,20260923,0.3223,20260129,20260923,20260923,20260924,人民币元,0.0001
10011056.SH,SSE,易方达上证科创板50ETF期权2609认沽1.60,10000.0,OP588080.SH,ETF期权,P,欧式,1.6,202609,20260923,0.1967,20260129,20260923,20260923,20260924,人民币元,0.0001
10011042.SH,SSE,华夏上证科创板50ETF期权2609认沽1.85,10000.0,OP588000.SH,ETF期权,P,欧式,1.85,202609,20260923,0.3358,20260129,20260923,20260923,20260924,人民币元,0.0001
10011044.SH,SSE,易方达上证科创板50ETF期权2609认购1.45,10000.0,OP588080.SH,ETF期权,C,欧式,1.45,202609,20260923,0.2354,20260129,20260923,20260923,20260924,人民币元,0.0001
10011060.SH,SSE,易方达上证科创板50ETF期权2609认沽1.80,10000.0,OP588080.SH,ETF期权,P,欧式,1.8,202609,20260923,0.3453,20260129,20260923,20260923,20260924,人民币元,0.0001
10011022.SH,SSE,南方中证500ETF期权2609认沽9.25,10000.0,OP510500.SH,ETF期权,P,欧式,9.25,202609,20260923,1.0706,20260129,20260923,20260923,20260924,人民币元,0.0001
10011000.SH,SSE,华泰柏瑞沪深300ETF期权2609认沽4.50,10000.0,OP510300.SH,ETF期权,P,欧式,4.5,202609,20260923,0.178,20260129,20260923,20260923,20260924,人民币元,0.0001
10011033.SH,SSE,华夏上证科创板50ETF期权2609认购1.85,10000.0,OP588000.SH,ETF期权,C,欧式,1.85,202609,20260923,0.1324,20260129,20260923,20260923,20260924,人民币元,0.0001
10010988.SH,SSE,华夏上证50ETF期权2609认沽3.50,10000.0,OP510050.SH,ETF期权,P,欧式,3.5,202609,20260923,0.4166,20260129,20260923,20260923,20260924,人民币元,0.0001
10011010.SH,SSE,南方中证500ETF期权2609认购8.50,10000.0,OP510500.SH,ETF期权,C,欧式,8.5,202609,20260923,0.8321,20260129,20260923,20260923,20260924,人民币元,0.0001
10011051.SH,SSE,易方达上证科创板50ETF期权2609认购1.80,10000.0,OP588080.SH,ETF期权,C,欧式,1.8,202609,20260923,0.1302,20260129,20260923,20260923,20260924,人民币元,0.0001
10010976.SH,SSE,华夏上证50ETF期权2609认购3.20,10000.0,OP510050.SH,ETF期权,C,欧式,3.2,202609,20260923,0.204,20260129,20260923,20260923,20260924,人民币元,0.0001
10011003.SH,SSE,华泰柏瑞沪深300ETF期权2609认沽4.80,10000.0,OP510300.SH,ETF期权,P,欧式,4.8,202609,20260923,0.3215,20260129,20260923,20260923,20260924,人民币元,0.0001
10011001.SH,SSE,华泰柏瑞沪深300ETF期权2609认沽4.60,10000.0,OP510300.SH,ETF期权,P,欧式,4.6,202609,20260923,0.2064,20260129,20260923,20260923,20260924,人民币元,0.0001
10010998.SH,SSE,华泰柏瑞沪深300ETF期权2609认沽4.30,10000.0,OP510300.SH,ETF期权,P,欧式,4.3,202609,20260923,0.112,20260129,20260923,20260923,20260924,人民币元,0.0001
10011032.SH,SSE,华夏上证科创板50ETF期权2609认购1.80,10000.0,OP588000.SH,ETF期权,C,欧式,1.8,202609,20260923,0.1459,20260129,20260923,20260923,20260924,人民币元,0.0001
