trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20200720,SSE,701056904736.0,60722523027.0,56496308572.0,29142336350.0,374734434.0,730199241086.0,3016715457.0
20200720,SZSE,643512781679.0,62571879754.0,57033140679.0,15110650333.0,121997040.0,658623432012.0,1029354798.0
20200721,SSE,701417603825.0,53598876864.0,53225278802.0,29649465360.0,290091255.0,731067069185.0,3090810575.0
20200721,SZSE,643511611820.0,56484555082.0,56467212099.0,15859579182.0,110978805.0,659371191002.0,1079176278.0
20200722,SSE,704025960797.0,60654693446.0,58034410111.0,30584549816.0,333713454.0,734610510613.0,3147297924.0
20200722,SZSE,646370158065.0,63740931659.0,60863085890.0,16677042969.0,107736888.0,663047201034.0,1084918900.0
20200723,SSE,708063785728.0,63461931223.0,59400497151.0,30602804283.0,312236166.0,738666590011.0,3213785309.0
20200723,SZSE,650039205257.0,66446197806.0,62764307248.0,17639159901.0,122183496.0,667678365158.0,1129193356.0
20200724,SSE,700715314451.0,60354064866.0,67689670860.0,29163570123.0,322993668.0,729878884574.0,3252209184.0
20200724,SZSE,640462332153.0,65444575279.0,74993756894.0,17285350445.0,129290890.0,657747682598.0,1145855216.0
20200727,SSE,703259741449.0,43207902291.0,40654263671.0,29478693733.0,298401126.0,732738435182.0,3318883565.0
20200727,SZSE,641731534189.0,44158795579.0,42879357954.0,17560751689.0,91533438.0,659292285878.0,1159341181.0
20200728,SSE,703851065382.0,41294371024.0,40655678594.0,30282021131.0,301593210.0,734133086513.0,3440113732.0
20200728,SZSE,642059645946.0,42733666206.0,42396248810.0,18336615409.0,115601599.0,660396261355.0,1188938298.0
20200729,SSE,709581445856.0,53062685862.0,47313716119.0,31690902150.0,241098134.0,741272348006.0,3402750725.0
20200729,SZSE,648784931244.0,56703350754.0,49971039931.0,19317618950.0,125905846.0,668102550194.0,1213330138.0
20200730,SSE,712590778640.0,54741149053.0,51712619597.0,32332813204.0,259054463.0,744923591844.0,3495351043.0
20200730,SZSE,652720275862.0,56734509064.0,52791331423.0,19343570793.0,91112314.0,672063846655.0,1234627219.0
20200731,SSE,715121775818.0,56445034914.0,53891787181.0,32837176033.0,272717385.0,747958951851.0,3480507044.0
20200731,SZSE,656889297429.0,61695724161.0,57517043194.0,20014152115.0,104802777.0,676903449544.0,1233792719.0
