ts_code,name,count,exchange,list_date,type
883300.TI,沪深300样本股,300.0,A,20100413,N
883301.TI,上证50样本股,50.0,A,20150922,N
883302.TI,上证180成份股,180.0,A,20150922,N
883303.TI,上证380成份股,380.0,A,20150922,N
883304.TI,中证500成份股,500.0,A,20150916,N
885311.TI,智能电网,260.0,A,20070808,N
885312.TI,物联网,457.0,A,20090925,N
885333.TI,移动支付,77.0,A,20100329,N
885338.TI,融资融券,3771.0,A,20150123,N
885343.TI,稀土永磁,62.0,A,20100729,N
885345.TI,新疆振兴,147.0,A,20100927,N
885355.TI,石墨烯,77.0,A,20110411,N
885372.TI,页岩气,49.0,A,20120903,N
885376.TI,苹果概念,137.0,A,20120903,N
885378.TI,智慧城市,417.0,A,20120913,N
885386.TI,建筑节能,93.0,A,20220317,N
885398.TI,煤化工概念,99.0,A,20130422,N
885402.TI,智能医疗,314.0,A,20130422,N
885406.TI,食品安全,81.0,A,20130507,N
885410.TI,固废处理,153.0,A,20130508,N
885412.TI,污水处理,227.0,A,20130508,N
885413.TI,创投,452.0,A,20130508,N
885418.TI,文化传媒概念,195.0,A,20130508,N
885420.TI,电子商务,688.0,A,20130509,N
885423.TI,安防,173.0,A,20130509,N
885425.TI,特高压,117.0,A,20130509,N
885426.TI,海工装备,262.0,A,20130509,N
885427.TI,高端装备,347.0,A,20130509,N
885428.TI,特钢概念,41.0,A,20130509,N
885430.TI,天然气,161.0,A,20130509,N
885431.TI,新能源汽车,1004.0,A,20130509,N
885439.TI,土地流转,40.0,A,20130513,N
885454.TI,智能穿戴,226.0,A,20130606,N
885456.TI,互联网金融,215.0,A,20130627,N
885457.TI,手机游戏,59.0,A,20130701,N
885459.TI,网络安全,185.0,A,20130702,N
885461.TI,充电桩,381.0,A,20130722,N
885462.TI,乳业,35.0,A,20130725,N
885467.TI,特斯拉概念,248.0,A,20130807,N
885472.TI,上海自贸区,58.0,A,20130813,N
885478.TI,智能家居,279.0,A,20130902,N
885480.TI,在线教育,128.0,A,20130902,N
885487.TI,天津自贸区,15.0,A,20131010,N
885490.TI,民营医院,73.0,A,20131021,N
885493.TI,上海国企改革,54.0,A,20131025,N
885494.TI,一带一路,744.0,A,20131025,N
885497.TI,旅游概念,149.0,A,20131105,N
885502.TI,冷链物流,153.0,A,20131205,N
885505.TI,生态农业,56.0,A,20131210,N
885508.TI,禽流感,25.0,A,20131224,N
885514.TI,京津冀一体化,276.0,A,20140404,N
885517.TI,机器人概念,1154.0,A,20140410,N
885520.TI,沪股通,1535.0,A,20140414,N
885521.TI,粤港澳大湾区,466.0,A,20140414,N
885522.TI,养老概念,207.0,A,20140415,N
885525.TI,白酒概念,50.0,A,20140415,N
885530.TI,黄金概念,78.0,A,20140421,N
885531.TI,光伏概念,562.0,A,20140421,N
885537.TI,3D打印,128.0,A,20140425,N
885539.TI,医疗器械概念,396.0,A,20140428,N
885540.TI,三胎概念,210.0,A,20140428,N
885543.TI,家用电器,176.0,A,20140505,N
885545.TI,汽车电子,364.0,A,20140507,N
885551.TI,氟化工概念,55.0,A,20140513,N
885552.TI,小金属概念,157.0,A,20140513,N
885555.TI,PM2.5,36.0,A,20140513,N
885556.TI,5G,441.0,A,20140513,N
885562.TI,高铁,176.0,A,20140515,N
885563.TI,节能环保,346.0,A,20140515,N
885564.TI,无人机,442.0,A,20140516,N
885566.TI,大飞机,148.0,A,20140519,N
885570.TI,期货概念,71.0,A,20140521,N
885571.TI,核电,326.0,A,20140521,N
885572.TI,水利,253.0,A,20140522,N
885573.TI,猪肉,32.0,A,20140522,N
885574.TI,卫星导航,259.0,A,20140523,N
885578.TI,基因测序,70.0,A,20140527,N
885580.TI,足球概念,35.0,A,20140606,N
885586.TI,职业教育,134.0,A,20140630,N
885587.TI,举牌,19.0,A,20140704,N
885591.TI,中韩自贸区,15.0,A,20140714,N
885595.TI,央企国企改革,390.0,A,20140717,N
885598.TI,新股与次新股,111.0,A,20140731,N
885603.TI,网络游戏,66.0,A,20140821,N
885611.TI,阿里巴巴概念,335.0,A,20140930,N
885615.TI,体育产业,130.0,A,20141024,N
885617.TI,福建自贸区,127.0,A,20141031,N
