month,m0,m0_yoy,m0_mom,m1,m1_yoy,m1_mom,m2,m2_yoy,m2_mom
202512,141261.37,10.2,2.83,1155146.5,3.8,2.33,3402948.06,8.5,0.98
202511,137369.38,10.6,1.4,1128866.64,4.9,0.8,3369890.52,8.0,0.55
202510,135478.14,10.6,-0.25,1119962.73,6.2,-1.02,3351312.31,8.2,-0.07
202509,135813.36,11.5,1.81,1131455.07,7.2,1.73,3353771.03,8.4,1.02
202508,133402.29,11.7,0.42,1112255.7,6.0,0.15,3319831.44,8.8,0.62
202507,132800.0,11.8,0.74,1110600.0,5.6,-2.54,3299400.0,8.8,-0.11
202506,131827.18,12.0,0.43,1139494.08,4.6,4.62,3302868.17,8.3,1.38
202505,131300.0,12.1,-0.07,1089100.0,2.3,-0.21,3257800.0,7.9,0.19
202504,131387.01,12.0,0.53,1091407.33,1.5,-3.83,3251739.32,8.0,-0.27
202503,130691.86,11.5,-1.56,1134863.1,1.6,3.7,3260554.57,7.0,1.73
202502,132756.61,9.7,-6.68,1094370.01,0.1,-2.68,3205173.24,7.0,0.63
202501,142254.48,17.2,10.97,1124457.45,0.4,1.02,3185247.18,7.0,1.59
202412,128194.16,13.0,3.23,1113069.0,1.2,3.41,3135322.3,7.3,0.5
202411,124180.26,12.7,1.42,650904.16,-3.7,2.77,3119587.27,7.1,0.73
202410,122447.04,12.8,0.51,633357.47,-6.1,0.82,3097092.01,7.5,0.07
202409,121830.0,11.5,1.97,628236.54,-7.4,-0.32,3094798.24,6.8,1.45
202408,119500.0,12.2,0.55,630200.0,-7.3,-0.33,3050500.0,6.3,0.57
202407,118840.46,12.0,0.94,632296.54,-6.6,-4.29,3033060.78,6.3,-0.56
202406,117736.77,11.7,0.58,660610.52,-5.0,2.13,3050161.54,6.2,1.05
202405,117062.72,11.7,-0.21,646842.47,-4.2,-2.0,3018506.73,7.0,0.22
202404,117300.0,10.8,0.08,660100.0,-1.4,-3.75,3011900.0,7.2,-1.18
202403,117210.5,11.0,-3.14,685808.9,1.1,2.99,3047952.16,8.3,1.75
202402,121009.93,12.5,-0.32,665916.09,1.2,-4.07,2995572.97,8.7,0.65
202401,121398.54,5.9,7.01,694197.88,5.9,2.01,2976250.2,8.7,1.83
202312,113444.64,8.3,2.92,680542.52,1.3,0.69,2922713.33,9.7,0.37
202311,110225.18,10.4,1.53,675903.41,1.3,0.18,2912014.22,10.0,1.03
202310,108565.35,10.2,-0.63,674696.07,1.9,-0.55,2882276.07,10.3,-0.5
202309,109253.22,10.7,2.57,678443.65,2.1,-0.17,2896659.11,10.3,0.95
202308,106515.36,9.5,0.36,679588.35,2.2,0.35,2869343.25,10.6,0.54
202307,106129.68,9.9,0.67,677218.92,2.3,-2.64,2854031.56,10.7,-0.66
202306,105419.2,9.8,0.63,695595.48,3.1,3.01,2873023.83,11.3,1.86
202305,104756.71,9.6,-1.08,675252.98,4.7,0.82,2820504.68,11.6,0.43
202304,105904.46,10.7,0.3,669761.55,5.3,-1.22,2808469.34,12.4,-0.22
202303,105591.3,11.0,-1.87,678059.63,5.1,3.06,2814566.31,12.7,2.15
202302,107602.58,10.6,-6.11,657938.74,5.8,0.42,2755249.23,12.9,0.63
202301,114601.3,7.9,9.45,655214.16,6.7,-2.45,2738072.06,12.6,2.77
202212,104706.03,15.3,4.98,671674.76,3.7,0.69,2664320.84,11.8,0.65
202211,99740.12,14.1,1.34,667042.61,4.6,0.74,2647008.48,12.4,1.3
202210,98416.71,14.4,-0.26,662140.99,5.8,-0.36,2612914.57,11.8,-0.52
202209,98672.06,13.6,1.48,664535.17,6.4,-0.01,2626600.92,12.1,1.22
202208,97231.03,14.3,0.75,664604.85,6.1,0.42,2595068.27,12.2,0.66
