近期天数,最大涨幅,最小高开,企业类型,交易次数,胜率,平均收益,总收益,最大回撤
30,15,4.0,地方国有企业,118,87.28813559322035,5.760276571192951,679.7126354007682,-6.250000000000003
30,15,4.0,地方国有企业+中央国有企业,118,87.28813559322035,5.760276571192951,679.7126354007682,-6.250000000000003
30,10,4.0,不限,398,83.66834170854271,5.686817959928815,2263.3535480516684,-10.716267231863986
20,10,4.0,不限,434,83.41013824884793,5.675887724624519,2463.335272487041,-10.601801023146432
30,15,4.0,不限,516,82.55813953488372,5.5581446112370125,2868.0026193982985,-14.329439521971615
20,10,4.0,地方国有企业+中央国有企业,94,87.2340425531915,5.554714567628269,522.1431693570573,-9.638554216867465
20,10,4.0,地方国有企业,94,87.2340425531915,5.554714567628269,522.1431693570573,-9.638554216867465
20,15,4.0,不限,619,82.87560581583199,5.521540145075246,3417.8333498015772,-10.601801023146432
30,10,4.0,地方国有企业,87,86.20689655172413,5.50540795697549,478.97049225686766,-3.6697247700000095
30,10,4.0,地方国有企业+中央国有企业,87,86.20689655172413,5.50540795697549,478.97049225686766,-3.6697247700000095
20,15,4.0,地方国有企业+中央国有企业,152,88.1578947368421,5.493151501433114,834.9590282178333,-9.638554216867474
20,15,4.0,地方国有企业,152,88.1578947368421,5.493151501433114,834.9590282178333,-9.638554216867474
20,20,4.0,地方国有企业,193,86.52849740932642,5.48206324500386,1058.038206285745,-9.984399375975055
20,20,4.0,地方国有企业+中央国有企业,193,86.52849740932642,5.48206324500386,1058.038206285745,-9.984399375975055
30,15,3.5,地方国有企业+中央国有企业,137,86.13138686131386,5.396768078885227,739.3572268072761,-6.250000000000003
30,15,3.5,地方国有企业,137,86.13138686131386,5.396768078885227,739.3572268072761,-6.250000000000003
30,10,3.5,不限,473,82.4524312896406,5.3901879273067514,2549.5588896160934,-13.710876902348042
30,20,4.0,地方国有企业+中央国有企业,149,83.22147651006712,5.379971550708337,801.6157610555422,-7.752696894521173
30,20,4.0,地方国有企业,149,83.22147651006712,5.379971550708337,801.6157610555422,-7.752696894521173
20,10,3.5,不限,513,81.48148148148148,5.357326914857723,2748.308707322012,-10.601801023146432
40,10,4.0,地方国有企业+中央国有企业,92,85.86956521739131,5.33794309656484,491.0907648839652,-7.752696894521156
40,10,4.0,地方国有企业,92,85.86956521739131,5.33794309656484,491.0907648839652,-7.752696894521156
20,20,4.0,不限,785,81.27388535031848,5.335012600047267,4187.984891037105,-21.70042926852982
30,20,4.0,不限,643,79.93779160186625,5.318609377507908,3419.865829737585,-16.87156096906375
30,15,3.5,不限,607,81.38385502471169,5.305069770257153,3220.1773505460915,-12.10685422655108
20,15,3.5,不限,714,81.37254901960785,5.301949459449239,3785.5919140467568,-11.693133119588834
30,25,4.0,不限,738,79.26829268292683,5.297864195045859,3909.823775943844,-24.54082229302282
20,15,3.5,地方国有企业+中央国有企业,173,86.70520231213872,5.293212342329317,915.7257352229719,-9.63855421686747
20,15,3.5,地方国有企业,173,86.70520231213872,5.293212342329317,915.7257352229719,-9.63855421686747
40,15,4.0,地方国有企业,112,84.82142857142857,5.289123139822885,592.3817916601631,-8.29650174942032
40,15,4.0,地方国有企业+中央国有企业,112,84.82142857142857,5.289123139822885,592.3817916601631,-8.29650174942032
20,10,3.5,地方国有企业,111,85.58558558558559,5.274894154709437,585.5132511727475,-9.63855421686747
20,10,3.5,地方国有企业+中央国有企业,111,85.58558558558559,5.274894154709437,585.5132511727475,-9.63855421686747
40,10,4.0,不限,367,82.56130790190736,5.259806823933138,1930.3491043834615,-14.329439521971613
40,20,4.0,地方国有企业+中央国有企业,135,84.44444444444444,5.2342188918462265,706.6195503992406,-10.111375833100222
40,20,4.0,地方国有企业,135,84.44444444444444,5.2342188918462265,706.6195503992406,-10.111375833100222
20,25,4.0,不限,960,79.6875,5.233808756834211,5024.456406560843,-23.8481789863538
30,15,3.0,地方国有企业+中央国有企业,154,86.36363636363636,5.220683835473427,803.9853106629078,-6.250000000000003
30,15,3.0,地方国有企业,154,86.36363636363636,5.220683835473427,803.9853106629078,-6.250000000000003
40,25,4.0,地方国有企业+中央国有企业,154,83.11688311688312,5.212204871590431,802.6795502249264,-8.50974638440579
40,25,4.0,地方国有企业,154,83.11688311688312,5.212204871590431,802.6795502249264,-8.50974638440579
20,20,3.5,地方国有企业+中央国有企业,221,84.61538461538461,5.19574913604486,1148.260559065914,-9.984399375975046
20,20,3.5,地方国有企业,221,84.61538461538461,5.19574913604486,1148.260559065914,-9.984399375975046
40,15,4.0,不限,467,80.94218415417559,5.180884284737524,2419.4729609724236,-14.329439521971615
30,25,4.0,地方国有企业+中央国有企业,170,80.58823529411765,5.176704288644357,880.0397290695407,-11.385223894218054
30,25,4.0,地方国有企业,170,80.58823529411765,5.176704288644357,880.0397290695407,-11.385223894218054
20,10,3.0,地方国有企业,130,84.61538461538461,5.173483141614342,672.5528084098644,-9.638554216867472
20,10,3.0,地方国有企业+中央国有企业,130,84.61538461538461,5.173483141614342,672.5528084098644,-9.638554216867472
