最小高开,最小振幅,大盘暴涨阈值,大盘暴跌阈值,避开小跌,企业类型,卖出策略,交易次数,胜率,平均收益,总收益,最大回撤
4.0,2.0,1.5,-1.5,否,地方国有企业,次日卖出,97,86.5979381443299,5.573551163925945,540.6344629008166,-6.552229029399291
4.0,2.0,1.5,-1.5,否,地方国有企业+中央国有企业,次日卖出,97,86.5979381443299,5.573551163925945,540.6344629008166,-6.552229029399291
4.0,1.0,1.5,-1.5,否,地方国有企业,次日卖出,98,86.73469387755102,5.567835019232386,545.6478318847738,-6.552229029399291
4.0,1.0,1.5,-1.5,否,地方国有企业+中央国有企业,次日卖出,98,86.73469387755102,5.567835019232386,545.6478318847738,-6.552229029399291
4.0,2.0,1.0,-1.0,是,地方国有企业,次日卖出,64,90.625,5.549959353348625,355.197398614312,-2.0168067226890867
4.0,2.0,1.0,-1.0,是,地方国有企业+中央国有企业,次日卖出,64,90.625,5.549959353348625,355.197398614312,-2.0168067226890867
4.0,1.0,1.0,-1.0,是,地方国有企业,次日卖出,65,90.76923076923077,5.54170411689645,360.21076759826923,-2.0168067226890867
4.0,1.0,1.0,-1.0,是,地方国有企业+中央国有企业,次日卖出,65,90.76923076923077,5.54170411689645,360.21076759826923,-2.0168067226890867
4.0,2.0,1.5,-1.5,否,不限,次日卖出,443,82.61851015801355,5.47024179243225,2423.317114047487,-10.290943720015369
4.0,1.0,1.5,-1.5,否,不限,次日卖出,448,82.36607142857143,5.4566985991657475,2444.600972426255,-11.76648721072861
4.0,2.0,1.5,-1.5,否,不限,动态止盈,443,60.496613995485326,5.440221423628918,2410.0180906676105,-30.178482987001313
4.0,1.0,1.5,-1.5,否,不限,动态止盈,448,60.49107142857143,5.435774047473131,2435.2267732679625,-30.178482987001303
4.0,1.0,1.5,-1.5,是,地方国有企业+中央国有企业,次日卖出,60,90.0,5.342106641196495,320.5263984717897,-2.01680672268908
4.0,1.0,1.5,-1.5,是,地方国有企业,次日卖出,60,90.0,5.342106641196495,320.5263984717897,-2.01680672268908
4.0,1.0,2.0,-2.0,是,地方国有企业,次日卖出,60,90.0,5.342106641196495,320.5263984717897,-2.01680672268908
