数据日期,商品代码,描述,基本每股收益(TTM),形态,成交额变动,前1日涨跌幅%,价格,换手,市场价值,所属行业,总评分,涨跌幅%,最高涨幅,最低跌幅,RSI(7),RSI(14),"Stochastic %D (14, 3, 3)",CCI指标(20）,"MACD Level (12, 26)",单周表现,月表现,3个月表现,6个月表现,年表现,股东数量,波动率-涨跌幅%,总评分/平均数,第2日涨跌幅,第2日最高涨幅,第2日最低跌幅,第2日昨收,第2日盘前涨跌幅%,第2日价格,第2日最低价,第2日最高价,第2日RSI(7),第2日RSI(14),"第2日Stochastic %D (14, 3, 3)","第2日MACD Level (12, 26)",第2日CCI指标(20）,第3日涨跌幅,第3日最高涨幅,第3日最低跌幅,第3日昨收,第3日盘前涨跌幅%,第3日价格,第3日最低价,第3日最高价,第3日RSI(7),第3日RSI(14),"第3日Stochastic %D (14, 3, 3)","第3日MACD Level (12, 26)",第3日CCI指标(20）,第4日涨跌幅,第4日最高涨幅,第4日最低跌幅,第4日昨收,第4日盘前涨跌幅%,第4日价格,第4日最低价,第4日最高价,第4日RSI(7),第4日RSI(14),"第4日Stochastic %D (14, 3, 3)","第4日MACD Level (12, 26)",第4日CCI指标(20）,第5日涨跌幅,第5日最高涨幅,第5日最低跌幅,第5日昨收,第5日盘前涨跌幅%,第5日价格,第5日最低价,第5日最高价,第5日RSI(7),第5日RSI(14),"第5日Stochastic %D (14, 3, 3)","第5日MACD Level (12, 26)",第5日CCI指标(20）,第6日涨跌幅,第6日最高涨幅,第6日最低跌幅,第6日昨收,第6日盘前涨跌幅%,第6日价格,第6日最低价,第6日最高价,第6日RSI(7),第6日RSI(14),"第6日Stochastic %D (14, 3, 3)","第6日MACD Level (12, 26)",第6日CCI指标(20）,第7日涨跌幅,第7日最高涨幅,第7日最低跌幅,第7日昨收,第7日盘前涨跌幅%,第7日价格,第7日最低价,第7日最高价,第7日RSI(7),第7日RSI(14),"第7日Stochastic %D (14, 3, 3)","第7日MACD Level (12, 26)",第7日CCI指标(20）,企业性质,同花顺概念,省份,城市,流通股本,流通比例,第8日涨跌幅,第8日最高涨幅,第8日最低跌幅,第8日昨收,第8日盘前涨跌幅%,第8日价格,第8日最低价,第8日最高价,第8日RSI(7),第8日RSI(14),"第8日Stochastic %D (14, 3, 3)","第8日MACD Level (12, 26)",第8日CCI指标(20）,第9日涨跌幅,第9日最高涨幅,第9日最低跌幅,第9日昨收,第9日盘前涨跌幅%,第9日价格,第9日最低价,第9日最高价,第9日RSI(7),第9日RSI(14),"第9日Stochastic %D (14, 3, 3)","第9日MACD Level (12, 26)",第9日CCI指标(20）,近20日涨幅,近30日涨幅,近40日涨幅,return
2025-04-16,000025.SZ,特 力Ａ,0.317,,2.31,-1.6069221260815807,17.51,4.87,64.0,综合,6.609999999999999,9.987437185929656,9.987437185929643,0.4396984924623021,63.72643578024813,57.48407082329365,42.38757814075417,30.10279001468284,-0.055055826641194,18.071476736345257,4.102259215219984,10.12578616352202,12.028150991682669,9.574468085106387,50749.0,-0.043722364166042,6.6,9.994288977727011,9.994288977727011,4.797258709308965,17.51,7.82410051399199,19.26,18.35,19.26,75.53443852201956,66.68404147630463,51.90562613430127,0.1687304557790341,182.37391037959003,10.020768431983385,10.020768431983385,4.049844236760112,19.26,4.776739356178599,21.19,20.04,21.19,82.75669344165232,73.4957272168553,67.95724944545272,0.4960988484925579,247.4696329159348,-5.1911278905144,0.094384143463896,-7.975460122699392,21.19,-4.011326097215674,20.09,19.5,21.21,69.17774359333742,65.30087123120433,83.18286136797934,0.6591812205787377,168.57907306649315,-3.982080637132906,3.932304629168736,-7.914385266301642,20.09,2.040816326530613,19.29,18.5,20.88,60.72368481238033,60.05619111934783,89.51686825163621,0.715622609300631,111.5371928088396,-7.724209434940375,-0.6739243131155987,-8.035251425609127,19.29,-3.5769828926905016,17.8,17.74,19.16,47.98215229888244,51.72377075138576,83.73887647416296,0.6328274282787447,40.96097581077125,-2.9775280898876466,0.1123595505617953,-3.6516853932584383,17.8,-1.348314606741584,17.27,17.15,17.82,44.13871642262224,49.11348288444714,71.64021164021163,0.518468498096027,-1.9272239485174345,地方国有企业,"物业管理,黄金概念,粤港澳大湾区,深圳国企改革,国企改革,含B股,地方国企改革,富时罗素概念,广东国企改革,深股通,融资融券,转融券标的",广东,深圳市,392778320.0,0.9112,-0.8685581933989495,1.7950202663578383,-0.8685581933989495,17.27,0.0,17.12,17.12,17.58,43.00139137975655,48.36948826953128,58.94179894179894,0.4109967607950828,-10.960921930508976,,,,,,,,,,,,,,3.9786223277909816,7.225964482547487,8.488228004956632,9.994288977727011
2025-04-08,000061.SZ,农 产 品,0.2771,光头阳线,0.11,-2.269288956127085,7.11,2.39,109.0,零售,10.09,10.061919504643967,10.061919504643967,0.4643962848297252,78.66932286413818,68.99071285806968,47.58402614640431,268.01451529290307,0.0604968525393747,13.21656050955414,15.0485436893204,7.239819004524893,14.677419354838712,16.748768472906413,42637.0,-0.0465111841508942,7.29,2.812939521800271,7.876230661040768,0.7032348804500552,7.110000000000001,7.876230661040781,7.31,7.16,7.67,82.01597097346612,72.16745729238774,57.72258594627015,0.1202593446524522,330.2752293578048,-1.2311901504787943,1.2311901504788063,-5.0615595075239295,7.31,-4.514363885088908,7.22,6.94,7.4,75.77448890874166,68.75406597946353,71.52323376007585,0.1585318459415869,200.36534948562976,-4.570637119113575,-1.2465373961218815,-4.709141274238225,7.22,-1.5235457063711833,6.89,6.88,7.13,57.164894029030016,57.93390773938834,71.91816816816815,0.1603860068269025,115.58622520071862,2.75761973875182,5.370101596516692,-1.1611030478955018,6.89,-0.290275761973869,7.08,6.81,7.26,63.23066644909228,61.67377050349092,68.3183183183183,0.1751676313743502,116.41754769717096,-1.977401129943498,-0.1412429378531043,-3.248587570621475,7.08,-0.2824858757062212,6.94,6.85,7.07,56.36874338942541,57.60955144795508,58.63363363363362,0.1735843727562613,81.42114119626903,-1.0086455331412143,0.0,-4.610951008645537,6.94,-0.1440922190201826,6.87,6.62,6.94,53.01279276340296,55.635391030600175,54.65465465465465,0.1647817128958637,43.12037456577717,地方国有企业,"区块链,食品安全,数字乡村,深圳国企改革,证金持股,统一大市场,国企改革,冷链物流,电子商务,乡村振兴,网络直播,农村电商,余额宝,地方国企改革,大运会,家庭农场,富时罗素概念,广东国企改革,深股通,融资融券",广东,深圳市,1696933000.0,1.0,-2.037845705967972,-0.2911208151382891,-2.4745269286753997,6.87,-1.0189228529839924,6.73,6.7,6.85,46.54668744590314,51.811309080954665,49.77477477477478,0.1448390966189618,29.876652633135524,-1.783060921248144,0.1485884101040087,-2.526002971768214,6.73,0.0,6.61,6.56,6.74,41.48647629678985,48.72014196553518,44.51951951951952,0.1179913021385514,0.7914523149993924,14.308681672025724,11.442006269592486,1.2820512820512997,2.812939521800271
2025-01-14,000158.SZ,常山北明,-0.1567,光头阳线,-0.07,0.9994447529150456,20.01,3.56,288.0,IT服务,1.56,10.005497526113247,10.00549752611323,1.0445299615172847,55.24846998901187,43.267708042016814,16.037667610281883,-44.0140845070428,-1.6391818516114114,10.858725761772858,-19.314516129032253,-4.577968526466368,260.5405405405406,116.79306608884072,265535.0,-0.1034300614777716,1.33,0.3498250874562554,5.847076461769087,-0.59970014992506,20.010000000000005,4.947526236881552,20.08,19.89,21.18,56.01759865250009,43.7147773323996,24.96384625302043,-1.4688959775397308,-2.685891998869668,-1.1952191235059684,3.535856573705184,-2.7888446215139377,20.08,1.7928286852589792,19.84,19.52,20.79,52.41429510243873,42.4787885829611,39.12702923359364,-1.3378868627822629,-11.102172164119812,-0.8559919436052273,1.6112789526686822,-1.2084592145015027,19.86,-0.3524672708962753,19.69,19.62,20.18,50.02334571547416,41.67807867213211,49.948269824503086,-1.230731823802785,-15.092204331725323,-0.6094464195022904,1.6759776536312765,-1.3204672422549597,19.69,1.0157440325038054,19.57,19.43,20.02,48.01721202353411,41.01823933939732,54.23138986200511,-1.143575651222097,-15.868517993766604,-0.9197751660705146,0.8686765457332558,-2.4016351558507862,19.57,0.3576903423607577,19.39,19.1,19.74,44.86827105027719,39.99537916200129,53.30525822978632,-1.076617673830139,-24.39329888836799,-2.630221763795779,-0.4641567818463117,-2.83651366683858,19.39,-0.6704486848891129,18.88,18.84,19.3,36.87470459410816,37.16735408990864,50.12722654149143,-1.0525723334366646,-43.433476394851,地方国有企业,"冷链物流,国企改革,参股银行,电子商务,京津冀一体化,机器人概念,国资云,工业互联网,车联网(车路协同),智能交通,华为概念,数据中心,腾讯概念,人工智能,百度概念,智慧城市,数字经济,区块链,数据确权,智慧政务,华为昇腾,信创,网络安全,华为鲲鹏,鸿蒙概念,数据安全,互联网金融,互联网银行,地方国企改革,富时罗素概念,深股通,融资融券,转融券标的",河北,石家庄市,1587818800.0,0.9932,-2.065677966101698,2.913135593220343,-2.224576271186431,18.88,-1.4830508474576145,18.49,18.46,19.43,31.81752004835583,35.12216338497132,44.4254400438846,-1.052849376337086,-52.23582849952558,1.9565217391304512,5.978260869565226,-0.7065217391304294,18.4,-0.5978260869565187,18.76,18.27,19.5,39.50247569506272,38.02911835479462,36.60686720909276,-1.0250728245362597,-42.37096237096344,-19.573954983922825,-25.056179775280896,-21.560172481379848,0.3498250874562554
2025-02-07,000158.SZ,常山北明,-0.1567,,1.21,4.453650958052839,22.42,17.87,323.0,IT服务,7.61,10.009813542688924,10.009813542688924,-1.2266928361138372,75.15300207355625,61.20090635323884,48.20075757575756,233.3985284530112,-0.4722061975995153,18.93899204244032,22.782037239868565,-25.26666666666666,273.6666666666667,228.73900293255133,265535.0,1.3662420956618124,1.2,9.991079393398744,9.991079393398744,4.460303300624442,22.42,5.887600356824249,24.66,23.42,24.66,82.49037172679648,68.53835841185207,69.91792929292927,-0.0448306876955051,326.9109214862958,-2.068126520681272,6.569343065693436,-2.270884022708835,24.66,0.0,24.15,24.1,26.28,76.49048773945192,65.5011174630933,86.26240344622697,0.249834805109014,269.91489569073474,10.02070393374742,10.020703933747404,-1.2008281573499076,24.15,-1.200828157349893,26.57,23.86,26.57,83.23925986758577,71.87097955831305,91.90612002376707,0.670899395709597,228.88992424634463,2.596913812570573,9.145652992096348,-2.860368837034255,26.57,0.1129092961987246,27.26,25.81,29.0,84.7002460431123,73.38018526574646,89.92394533571002,1.048190463607952,216.61200437298268,-1.907556859867949,5.099046221570055,-6.96991929567132,27.26,-2.494497432135008,26.74,25.36,28.65,78.67092753225307,70.31821746387703,88.74707862943156,1.2903622066780829,159.68002012226032,-3.7397157816005984,2.804786836200449,-4.637247569184736,26.74,0.9723261032161614,25.74,25.5,27.49,67.83683418719,64.72483985002012,84.34184987126163,1.3856208406312869,118.88325493310472,地方国有企业,"冷链物流,国企改革,参股银行,电子商务,京津冀一体化,机器人概念,国资云,工业互联网,车联网(车路协同),智能交通,华为概念,数据中心,腾讯概念,人工智能,百度概念,智慧城市,数字经济,区块链,数据确权,智慧政务,华为昇腾,信创,网络安全,华为鲲鹏,鸿蒙概念,数据安全,互联网金融,互联网银行,地方国企改革,富时罗素概念,深股通,融资融券,转融券标的",河北,石家庄市,1587818800.0,0.9932,,,,,,,,,,,,,,,,,,,,,,,,,,,12.437311935807415,-3.4453057708871526,-11.871069182389938,9.991079393398744
2025-04-30,000158.SZ,常山北明,-0.1567,光头阳线,0.54,0.5885237861696959,22.56,6.0,325.0,IT服务,5.09,9.995124329595305,9.995124329595305,-0.048756704046814,71.77434945426013,56.61094180861412,62.25559679582244,141.66881498667857,-0.5132915416936683,7.736389684813741,0.5347593582887586,19.68169761273208,-41.82568334192884,199.601593625498,265535.0,0.0536561582095682,1.67,10.017730496453908,10.017730496453908,2.4379432624113506,22.56,4.255319148936175,24.82,23.11,24.82,82.52470707114205,66.17896077428473,67.02116909328767,-0.1663615441204768,304.6839472487459,1.3295729250604282,3.062046736502797,-0.4834810636583583,24.820000000000004,1.933924254633362,25.15,24.7,25.58,83.58947213374472,67.31244233776445,80.97523946245691,0.1336703519168764,280.61271221598787,-2.9025844930417373,0.6759443339960307,-3.777335984095425,25.15,,24.42,24.2,25.32,72.23125427800494,62.33556415964178,88.91813007998007,0.308981149645092,194.4151120497456,1.8018018018017925,4.4226044226044,-1.269451269451293,24.420000000000005,0.941850941850929,24.86,24.11,25.5,74.65316920235924,64.06040618829336,91.67627835447908,0.4779114766441772,165.87635896818566,,,,,,,,,,,,,,,,,,,,,,,,,,,地方国有企业,"冷链物流,国企改革,参股银行,电子商务,京津冀一体化,机器人概念,国资云,工业互联网,车联网(车路协同),智能交通,华为概念,数据中心,腾讯概念,人工智能,百度概念,智慧城市,数字经济,区块链,数据确权,智慧政务,华为昇腾,信创,网络安全,华为鲲鹏,鸿蒙概念,数据安全,互联网金融,互联网银行,地方国企改革,富时罗素概念,深股通,融资融券,转融券标的",河北,石家庄市,1587818800.0,0.9932,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6674177557458147,-16.906077348066294,-10.15531660692951,10.017730496453908
2025-04-10,000417.SZ,合百集团,0.2701,光头阳线,1.07,1.467889908256882,6.08,8.59,43.0,零售,7.63,9.945750452079562,9.94575045207958,-0.7233273056057712,64.52683981801778,58.337622896159,34.307232282584415,43.27666151468472,-0.0181586981155827,10.746812386156645,11.355311355311358,10.344827586206902,18.05825242718446,26.666666666666675,26795.0,0.801061934077083,1.8,2.960526315789469,8.552631578947361,0.1644736842105228,6.08,4.934210526315787,6.26,6.09,6.6,68.47520896927968,61.23504854793322,51.33256528417821,0.0310711531361977,159.40088280513862,-0.4792332268370505,2.2364217252396257,-3.1948881789137404,6.26,-0.319488817891367,6.23,6.06,6.4,67.02460888707634,60.48010543469014,69.95327700972864,0.0668942998076929,124.45841070323392,-2.0866773675762564,1.9261637239165204,-2.5682182985553794,6.23,0.3210272873194153,6.1,6.07,6.35,60.54078423791408,57.18977632154643,75.66436251920125,0.0838281691394042,103.6954295820543,0.0,0.4918032786885287,-3.2786885245901525,6.1,-0.9836065573770428,6.1,5.9,6.13,60.54078423791408,57.18977632154643,75.52291346646187,0.0961401389105232,64.5043315275793,1.1475409836065622,2.2950819672131244,-1.6393442622950762,6.1,-0.9836065573770428,6.17,6.0,6.24,63.15321528592874,58.59643456818757,71.25448028673836,0.110274700538488,82.54634487583209,2.917341977309558,5.024311183144254,-0.3241491085899444,6.17,0.6482982171799033,6.35,6.15,6.48,69.25893132921637,62.04959432367364,71.4695340501792,0.1344510698989909,116.73434753621576,地方国有企业,"充电桩,人工智能,黄金概念,虚拟数字人,证金持股,创投,国企改革,跨境电商,冷链物流,统一大市场,参股银行,网络直播,乡村振兴,电子商务,预制菜,参股民营银行,合肥迪士尼,商超百货,地方国企改革,安徽国企改革,融资融券",安徽,合肥市,779027450.0,0.9989,,,,,,,,,,,,,,,,,,,,,,,,,,,8.571428571428585,9.549549549549564,6.666666666666665,2.960526315789469
2025-01-13,000421.SZ,南京公用,-0.2225,,,,7.13,0.71,37.0,燃气,6.609999999999999,10.030864197530857,10.030864197530857,10.030864197530857,63.39353966847886,57.06592230301895,25.490260557625835,33.410504335193686,-0.0215040748532802,17.462932454695213,-2.3287671232876703,35.03787878787878,36.06870229007633,11.406249999999991,41824.0,-0.9144546603639654,15.86,9.957924263674617,9.957924263674617,9.957924263674617,7.13,9.957924263674617,7.84,7.84,7.84,73.03500860377326,63.93490162465593,47.4886806473633,0.0799470846188832,123.03478499041296,-6.250000000000003,9.948979591836729,-6.887755102040817,7.84,9.948979591836729,7.35,7.3,8.62,60.25665237997848,57.14042579454978,67.49786364148066,0.1194322142951493,112.02383299380004,-4.081632653061222,2.3129251700680262,-7.48299319727891,7.35,-1.9047619047619004,7.05,6.8,7.52,53.56275873926195,53.39880836170889,74.57093733689479,0.125075182397123,36.60620631946086,-8.438818565400851,-2.390998593530238,-8.438818565400851,7.11,-3.516174402250352,6.51,6.51,6.94,43.30083471663581,47.34188821560172,63.26026219643242,0.0886894545211927,-25.049309664695212,1.0752688172043054,4.608294930875574,0.0,6.51,2.9185867895545377,6.58,6.51,6.81,44.8731536759392,48.15635171484515,47.47832939322302,0.0610054878539418,-24.053132292228685,-2.4316109422492422,-0.303951367781162,-3.495440729483289,6.58,-0.303951367781162,6.42,6.35,6.56,41.78331628370229,46.39015609407591,33.41213553979514,0.0258570183812638,-48.745684108602205,地方国有企业,"充电桩,天然气,文化传媒概念,国企改革,动力电池回收,换电概念,旅游概念,物业管理,网约车,互联网金融,南京国企改革,地方国企改革,江苏国企改革",江苏,南京市,574262430.0,0.9958,-1.0903426791277304,0.7788161993769442,-2.9595015576323918,6.42,0.311526479750786,6.35,6.23,6.47,40.3646663382339,45.60214338398509,27.02915681639088,-0.0075596687370023,-57.793616361947066,-0.3149606299212532,2.0472440944882013,-0.4724409448818797,6.35,0.7874015748031609,6.33,6.32,6.48,39.912950911517896,45.36503588676915,22.695035460992923,-0.0352501253825154,-49.478438111986456,-1.109570041608876,11.930926216640492,18.43853820598007,9.957924263674617
2025-01-14,000421.SZ,南京公用,-0.2225,,-0.36,10.030864197530857,7.84,0.41,41.0,燃气,10.09,9.957924263674617,9.957924263674617,9.957924263674617,73.03500860377326,63.93490162465593,47.4886806473633,123.03478499041296,0.0799470846188832,29.159802306425032,7.397260273972603,51.6441005802708,38.51590106007067,24.247226624405712,41824.0,-0.9018018146950252,12.09,-6.250000000000003,9.948979591836729,-6.887755102040817,7.84,9.948979591836729,7.35,7.3,8.62,60.25665237997848,57.14042579454978,67.49786364148066,0.1194322142951493,112.02383299380004,-4.081632653061222,2.3129251700680262,-7.48299319727891,7.35,-1.9047619047619004,7.05,6.8,7.52,53.56275873926195,53.39880836170889,74.57093733689479,0.125075182397123,36.60620631946086,-8.438818565400851,-2.390998593530238,-8.438818565400851,7.11,-3.516174402250352,6.51,6.51,6.94,43.30083471663581,47.34188821560172,63.26026219643242,0.0886894545211927,-25.049309664695212,1.0752688172043054,4.608294930875574,0.0,6.51,2.9185867895545377,6.58,6.51,6.81,44.8731536759392,48.15635171484515,47.47832939322302,0.0610054878539418,-24.053132292228685,-2.4316109422492422,-0.303951367781162,-3.495440729483289,6.58,-0.303951367781162,6.42,6.35,6.56,41.78331628370229,46.39015609407591,33.41213553979514,0.0258570183812638,-48.745684108602205,-1.0903426791277304,0.7788161993769442,-2.9595015576323918,6.42,0.311526479750786,6.35,6.23,6.47,40.3646663382339,45.60214338398509,27.02915681639088,-0.0075596687370023,-57.793616361947066,地方国有企业,"充电桩,天然气,文化传媒概念,国企改革,动力电池回收,换电概念,旅游概念,物业管理,网约车,互联网金融,南京国企改革,地方国企改革,江苏国企改革",江苏,南京市,574262430.0,0.9958,-0.3149606299212532,2.0472440944882013,-0.4724409448818797,6.35,0.7874015748031609,6.33,6.32,6.48,39.912950911517896,45.36503588676915,22.695035460992923,-0.0352501253825154,-49.478438111986456,-0.1584786053882692,-0.1584786053882692,-2.694136291600633,6.31,-0.9508716323296292,6.3,6.14,6.3,39.21805153269463,45.00503154018649,20.44917257683216,-0.0601681873436295,-65.98252904757925,12.320916905444124,11.840228245363772,28.104575163398682,-6.250000000000003
2025-03-14,000523.SZ,红棉股份,0.0632,,0.29,-0.65359477,3.34,0.65,55.0,零售,6.62,9.86842105,9.868421050000016,9.868421050000016,82.52290203,71.54371309,58.06535948,375.696767,0.03240747,9.50819672,10.59602649,-8.49315068,35.22267206,6.03174603,37071.0,-0.8863851199999999,1.26,9.88023952,9.880239519999993,8.682634729591273,3.340000000029123,9.88023952,3.67,3.63,3.67,90.57994179,81.11570658,65.54248366,0.07604834,441.19177726,-1.63487738,5.449591285152362,-2.452316072132957,3.66999999984344,5.44959128,3.61,3.58,3.87,82.51124448,76.10326367,78.37497246,0.10458693,286.59318124,-4.709141274238225,1.1080332409972309,-5.263157894736841,3.61,-0.5540166204986154,3.44,3.42,3.65,63.74217555690908,64.03033553028015,80.95028273481677,0.1121930994555087,148.18763326225934,-0.8720930232558082,2.6162790697674376,-0.8720930232558082,3.44,0.2906976744186114,3.41,3.41,3.53,60.89051165529786,62.15641022941432,73.78277153558051,0.1144806326174294,103.63258121299344,0.5865102639296192,2.346041055718477,-0.2932551319648162,3.41,-0.2932551319648162,3.43,3.4,3.49,62.20559857468415,62.93520236085265,60.424469413233446,0.1165636784552028,85.21615370930397,3.498542274052468,6.705539358600582,-0.8746355685131266,3.43,0.5830903790087468,3.55,3.4,3.66,69.40666995335864,67.28538045141077,53.80774032459424,0.1264399829895817,101.89701897018936,地方国有企业,"工业互联网,粤港澳大湾区,国企改革,代糖概念,白酒概念,物业管理,预制菜,啤酒概念,电子商务,广东自贸区,网络直播,土地流转,南沙新区,地方国企改革,广东国企改革,深股通,白糖,股权转让(并购重组)",广东,广州市,1794818100.0,0.9779,,,,,,,,,,,,,,,,,,,,,,,,,,,11.333333333333329,14.383561643835607,16.783216783216794,9.88023952
2025-01-27,000532.SZ,华金资本,0.1893,,-0.7,5.812101910828014,14.62,1.78,50.0,多元金融,9.12,10.007524454477052,10.007524454477052,10.007524454477052,81.44726842474694,64.15663946956559,72.70041388563521,302.073050345501,-0.205260932955861,14.576802507836986,5.942028985507236,2.957746478873239,18.76523151909016,5.865314989138296,43043.0,-0.9103972314948354,6.19,9.986320109439118,9.986320109439118,9.986320109439118,14.62,9.986320109439118,16.08,16.08,16.08,88.39707131826411,72.78675908425097,84.35692124266689,0.0483584687479794,371.21853853269033,10.012437810945292,10.012437810945292,4.975124378109458,16.08,10.012437810945292,17.69,16.88,17.69,92.1703963346316,78.83776232817642,93.91447294142088,0.3749450829746585,324.4038673479614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地方国有企业,"参股券商,国企改革,污水处理,石墨烯,锂电池概念,粤港澳大湾区,创投,横琴新区,独角兽概念,IPV6,元器件,地方国企改革,广东国企改革,珠海国企改革",广东,珠海市,343549750.0,0.9966,,,,,,,,,,,,,,,,,,,,,,,,,,,5.635838150289008,-9.808760024676133,2.8129395218002617,9.986320109439118
