high_threshold,low_min,low_max,high_sample,low_sample,high_next_return,low_next_return,switch_return,switch_5d_return,high_win_rate,low_win_rate
30,0,10,20383,99533,-0.7619844054788609,0.40937652423181575,1.1713609297106766,4.258172052500273,41.72104204484129,50.229572101715014
30,0,5,20383,91272,-0.7619844054788609,0.2871641357960342,1.049148541274895,4.0838379562895035,41.72104204484129,49.23306161802086
30,0,3,20383,78450,-0.7619844054788609,0.23975947628428676,1.0017438817631477,3.837018457814373,41.72104204484129,48.93307839388145
30,-5,10,20383,539947,-0.7619844054788609,0.15113902695167689,0.9131234324305378,3.5787053714873496,41.72104204484129,48.30122215698948
30,-5,5,20383,531686,-0.7619844054788609,0.12614707854163432,0.8881314840204952,3.5382211460588127,41.72104204484129,48.10019447568678
30,-5,3,20383,518864,-0.7619844054788609,0.11500069674059879,0.8769851022194597,3.4874199950902507,41.72104204484129,48.02684325757809
30,-10,10,20383,797203,-0.7619844054788609,0.11326133123618289,0.8752457367150438,3.46094623770484,41.72104204484129,48.52603414688605
30,-10,5,20383,788942,-0.7619844054788609,0.09602207064839877,0.8580064761272597,3.4324299410881376,41.72104204484129,48.39291101246987
30,-10,3,20383,776120,-0.7619844054788609,0.08807263100244252,0.8500570364813035,3.396719814785136,41.72104204484129,48.34870896253157
20,0,10,54835,99533,-0.1056438205047244,0.40937652423181575,0.5150203447365401,2.6433256274892347,44.039390899972645,50.229572101715014
15,0,10,98326,99533,-0.05895353842605966,0.40937652423181575,0.4683300626578754,2.0441642086524174,44.06667615889999,50.229572101715014
10,0,10,201419,99533,-0.011138225813178007,0.40937652423181575,0.4205147500449938,1.5245862836164532,43.70689954770901,50.229572101715014
20,0,5,54835,91272,-0.1056438205047244,0.2871641357960342,0.3928079563007586,2.468991531278466,44.039390899972645,49.23306161802086
5,0,10,461846,99533,0.02330912695874827,0.40937652423181575,0.3860673972730675,1.2021968063069053,43.94884875044928,50.229572101715014
15,0,5,98326,91272,-0.05895353842605966,0.2871641357960342,0.3461176742220939,1.8698301124416488,44.06667615889999,49.23306161802086
20,0,3,54835,78450,-0.1056438205047244,0.23975947628428676,0.34540329678901116,2.2221720328033356,44.039390899972645,48.93307839388145
15,0,3,98326,78450,-0.05895353842605966,0.23975947628428676,0.2987130147103464,1.6230106139665181,44.06667615889999,48.93307839388145
10,0,5,201419,91272,-0.011138225813178007,0.2871641357960342,0.29830236160921225,1.3502521874056843,43.70689954770901,49.23306161802086
