ts_code,trade_date,close,open,high,low,vol,amount,vwap
000016.SZ,20250402,4.53,4.55,4.55,4.53,109800.0,499480.0,4.55
000425.SZ,20250402,8.75,8.72,8.75,8.72,181200.0,1581436.96,8.73
002394.SZ,20250402,7.65,7.65,7.68,7.65,29600.0,226567.0,7.65
300119.SZ,20250402,18.03,18.07,18.07,17.99,51200.0,924242.0,18.05
300130.SZ,20250402,20.09,20.06,20.1,20.06,42300.0,849035.04,20.07
300098.SZ,20250402,5.23,5.23,5.25,5.22,274900.0,1438470.08,5.23
601633.SH,20250402,25.66,25.66,25.66,25.66,74200.0,1903972.0,25.66
301333.SZ,20250402,53.5,53.5,53.55,53.01,114700.0,6132046.72,53.46
600539.SH,20250402,10.64,10.64,10.64,10.64,34400.0,366016.0,10.64
688358.SH,20250402,31.68,31.68,31.68,31.68,4601.0,145760.0,31.68
301188.SZ,20250402,18.18,18.03,18.25,18.03,91800.0,1660644.96,18.09
601162.SH,20250402,4.19,4.19,4.19,4.19,280300.0,1174456.96,4.19
600406.SH,20250402,22.07,22.07,22.07,22.07,110796.0,2445268.0,22.07
688362.SH,20250402,30.86,30.86,30.86,30.86,25867.0,798256.0,30.86
000056.SZ,20250402,3.49,3.49,3.52,3.49,605300.0,2113339.04,3.49
000524.SZ,20250402,11.2,11.15,11.21,11.15,1721800.0,19211060.48,11.16
002453.SZ,20250402,5.13,5.15,5.15,5.12,35500.0,182709.0,5.15
300159.SZ,20250402,1.83,1.83,1.84,1.83,884500.0,1618664.96,1.83
300170.SZ,20250402,19.1,19.13,19.15,19.09,245800.0,4701500.16,19.13
300132.SZ,20250402,5.46,5.47,5.47,5.45,38100.0,208343.0,5.47
601799.SH,20250402,134.9,134.9,134.9,134.9,9000.0,1214100.0,134.9
000157.SZ,20250402,7.5,7.5,7.51,7.5,118300.0,887268.96,7.5
000544.SZ,20250402,8.64,8.64,8.64,8.64,31600.0,273024.0,8.64
002498.SZ,20250402,3.66,3.66,3.66,3.64,170300.0,622457.0,3.66
300179.SZ,20250402,9.59,9.56,9.63,9.56,126700.0,1213031.04,9.57
300213.SZ,20250402,8.62,8.62,8.63,8.6,85000.0,732598.0,8.62
300152.SZ,20250402,3.94,3.95,3.95,3.93,65400.0,258058.0,3.95
601888.SH,20250402,60.4,60.4,60.4,60.4,32600.0,1969040.0,60.4
000419.SZ,20250402,5.77,5.77,5.77,5.75,2700.0,15565.0,5.77
000564.SZ,20250402,2.65,2.65,2.65,2.64,747100.0,1979808.0,2.65
002512.SZ,20250402,4.72,4.74,4.74,4.72,131600.0,623683.0,4.74
300192.SZ,20250402,16.3,16.26,16.31,16.26,56600.0,921270.0,16.28
300233.SZ,20250402,20.38,20.32,20.56,20.32,1395700.0,28427404.8,20.37
300172.SZ,20250402,5.21,5.21,5.21,5.2,48700.0,253653.0,5.21
601989.SH,20250402,4.25,4.25,4.25,4.25,296700.0,1260975.04,4.25
000518.SZ,20250402,2.65,2.63,2.67,2.63,1954100.0,5143582.08,2.63
000607.SZ,20250402,3.91,3.93,3.93,3.91,5600.0,22006.0,3.93
002532.SZ,20250402,8.99,8.99,8.99,8.98,136600.0,1228020.0,8.99
300291.SZ,20250402,5.0,4.98,5.03,4.98,579000.0,2892142.08,5.0
300253.SZ,20250402,10.86,10.85,10.9,10.83,840700.0,9130968.32,10.86
300199.SZ,20250402,15.7,15.67,15.8,15.63,2377100.0,37273707.52,15.68
603009.SH,20250402,44.4,44.4,44.4,44.4,17600.0,781440.0,44.4
000538.SZ,20250402,56.83,56.91,56.91,56.83,57700.0,3282935.04,56.9
000627.SZ,20250402,3.85,3.85,3.85,3.84,775800.0,2986328.96,3.85
002552.SZ,20250402,15.04,15.0,15.17,15.0,102000.0,1531260.96,15.01
300390.SZ,20250402,21.47,21.49,21.49,21.39,41600.0,893471.04,21.48
300298.SZ,20250402,24.1,24.18,24.2,24.06,34400.0,830462.0,24.14
300211.SZ,20250402,10.17,10.18,10.2,10.1,39500.0,401973.0,10.18
603029.SH,20250402,16.85,16.85,16.85,16.85,300.0,5055.0,16.85
000558.SZ,20250402,3.77,3.78,3.79,3.76,2586300.0,9775233.92,3.78
000726.SZ,20250402,6.15,6.12,6.15,6.12,54362.0,332744.44,6.12
002572.SZ,20250402,16.17,16.17,16.17,16.17,7600.0,122892.0,16.17
300417.SZ,20250402,11.21,11.21,11.21,11.2,3500.0,39227.0,11.21
300332.SZ,20250402,4.98,4.97,4.98,4.97,12000.0,59649.0,4.97
300231.SZ,20250402,11.15,11.15,11.15,11.12,63200.0,704192.96,11.14
603069.SH,20250402,17.2,17.2,17.2,17.2,26200.0,450640.0,17.2
000593.SZ,20250402,5.49,5.49,5.5,5.49,20500.0,112548.0,5.49
000766.SZ,20250402,18.23,18.27,18.28,18.23,157600.0,2878855.04,18.27
002599.SZ,20250402,9.57,9.5,9.59,9.5,417200.0,3968078.08,9.51
300437.SZ,20250402,8.01,8.01,8.1,8.01,20700.0,166166.0,8.03
300352.SZ,20250402,5.08,5.07,5.08,5.07,108100.0,548154.0,5.07
300251.SZ,20250402,20.99,20.88,21.0,20.88,1103900.0,23080698.88,20.91
603082.SH,20250402,39.19,39.19,39.19,39.19,2700.0,105813.0,39.19
000690.SZ,20250402,4.18,4.18,4.19,4.18,354800.0,1483111.04,4.18
000837.SZ,20250402,13.4,13.41,13.45,13.35,1454900.0,19508024.32,13.41
002611.SZ,20250402,11.82,11.83,11.84,11.81,418200.0,4946639.04,11.83
300457.SZ,20250402,19.72,19.7,19.77,19.7,31400.0,618759.0,19.71
300399.SZ,20250402,20.85,20.65,20.85,20.65,21500.0,444453.0,20.67
300271.SZ,20250402,7.59,7.57,7.6,7.57,23300.0,176416.0,7.57
603108.SH,20250402,20.0,20.0,20.0,20.0,76700.0,1534000.0,20.0
000791.SZ,20250402,6.85,6.91,6.91,6.85,1148600.0,7931937.92,6.91
000877.SZ,20250402,5.71,5.71,5.72,5.69,91700.0,523789.0,5.71
002631.SZ,20250402,4.68,4.68,4.71,4.68,1579700.0,7403262.72,4.69
300477.SZ,20250402,3.18,3.19,3.19,3.16,729600.0,2321436.96,3.18
300594.SZ,20250402,16.71,16.76,16.76,16.48,13700.0,229158.0,16.73
300310.SZ,20250402,6.77,6.79,6.79,6.77,234200.0,1588988.96,6.79
603128.SH,20250402,5.72,5.72,5.72,5.72,9600.0,54912.0,5.72
000880.SZ,20250402,34.26,34.25,34.51,34.24,1032400.0,35388584.96,34.28
000504.SZ,20250402,10.06,10.04,10.08,10.04,427400.0,4293272.96,10.05
002651.SZ,20250402,6.75,6.71,6.75,6.71,78500.0,527671.0,6.72
300516.SZ,20250402,34.75,34.88,34.88,34.72,10000.0,348317.0,34.83
300697.SZ,20250402,15.83,15.88,15.88,15.81,168200.0,2668311.04,15.86
300350.SZ,20250402,5.23,5.23,5.26,5.23,17700.0,92800.0,5.24
603168.SH,20250402,7.03,7.03,7.03,7.03,26700.0,187701.0,7.03
000981.SZ,20250402,2.05,2.06,2.06,2.05,920500.0,1891526.08,2.06
001212.SZ,20250402,35.42,35.42,35.42,35.42,75500.0,2674209.92,35.42
002671.SZ,20250402,4.37,4.36,4.37,4.36,36900.0,161002.0,4.36
300139.SZ,20250402,18.28,18.21,18.34,18.21,865700.0,15795110.4,18.25
300796.SZ,20250402,10.05,10.04,10.05,10.04,600.0,6028.0,10.05
300370.SZ,20250402,2.95,2.95,2.96,2.95,65900.0,194474.0,2.95
603183.SH,20250402,4.16,4.16,4.16,4.16,17300.0,71968.0,4.16
002001.SZ,20250402,22.46,22.48,22.52,22.22,228600.0,5123150.08,22.41
001299.SZ,20250402,14.55,14.51,14.56,14.51,261700.0,3799969.92,14.52
002730.SZ,20250402,15.93,15.95,15.95,15.91,17300.0,275858.0,15.95
300556.SZ,20250402,18.68,18.68,18.68,18.66,15500.0,289421.0,18.67
300887.SZ,20250402,7.97,7.97,7.99,7.97,65300.0,520622.0,7.97
300497.SZ,20250402,9.07,9.01,9.11,8.99,1341800.0,12118787.84,9.03
603280.SH,20250402,23.66,23.66,23.66,23.66,20600.0,487396.0,23.66
002021.SZ,20250402,2.24,2.24,2.25,2.24,120200.0,269831.0,2.24
001313.SZ,20250402,8.81,8.81,8.86,8.81,43400.0,383013.0,8.83
002750.SZ,20250402,1.4,1.42,1.43,1.39,411700.0,582434.0,1.42
300576.SZ,20250402,44.96,44.95,45.01,44.85,103000.0,4629173.12,44.94
300986.SZ,20250402,18.49,18.49,18.56,18.49,20800.0,384686.0,18.5
300112.SZ,20250402,8.71,8.7,8.75,8.7,30700.0,267289.0,8.71
601698.SH,20250402,19.53,19.53,19.53,19.53,163800.0,3199014.08,19.53
002041.SZ,20250402,10.11,10.11,10.13,10.11,23700.0,239667.0,10.11
001333.SZ,20250402,29.01,29.02,29.03,28.6,1047800.0,30391454.72,29.01
002801.SZ,20250402,37.7,37.81,37.81,37.61,75400.0,2850111.04,37.8
300615.SZ,20250402,12.47,12.47,12.47,12.47,5500.0,68585.0,12.47
301080.SZ,20250402,54.54,54.54,54.55,54.36,15200.0,828936.96,54.54
300695.SZ,20250402,68.88,68.95,69.02,68.33,57400.0,3956140.16,68.92
603466.SH,20250402,9.89,9.89,9.89,9.89,49300.0,487577.0,9.89
002061.SZ,20250402,3.95,3.95,3.95,3.95,67200.0,265440.0,3.95
001373.SZ,20250402,29.23,29.24,29.24,29.23,800.0,23391.0,29.24
002821.SZ,20250402,80.65,80.7,80.7,80.56,35000.0,2823840.0,80.68
300635.SZ,20250402,9.94,9.93,9.94,9.93,23200.0,230414.0,9.93
301181.SZ,20250402,24.11,24.11,24.11,24.08,5400.0,130166.0,24.11
300885.SZ,20250402,13.94,13.96,13.96,13.85,175500.0,2446051.04,13.94
603507.SH,20250402,24.29,24.29,24.29,24.29,8000.0,194320.0,24.29
002100.SZ,20250402,6.26,6.25,6.27,6.25,107900.0,675676.96,6.26
001696.SZ,20250402,22.06,22.07,22.07,22.03,122700.0,2707720.96,22.07
002841.SZ,20250402,37.85,37.91,37.92,37.85,9200.0,348669.0,37.9
300655.SZ,20250402,8.55,8.57,8.59,8.51,320300.0,2744130.88,8.57
300150.SZ,20250402,4.64,4.64,4.66,4.64,57200.0,265722.0,4.65
300984.SZ,20250402,67.7,67.19,67.8,67.19,6100.0,410721.0,67.33
603527.SH,20250402,10.09,10.08,10.09,10.08,117400.0,1183484.96,10.08
002120.SZ,20250402,6.93,6.94,6.94,6.93,119000.0,825760.0,6.94
002096.SZ,20250402,11.38,11.49,11.49,11.38,53300.0,612307.0,11.49
002861.SZ,20250402,14.05,14.03,14.1,13.96,203100.0,2850206.08,14.03
300675.SZ,20250402,14.59,14.6,14.6,14.58,10800.0,157658.0,14.6
301229.SZ,20250402,24.81,24.78,24.81,24.78,14000.0,347128.0,24.8
301009.SZ,20250402,10.95,10.96,10.96,10.91,19400.0,212444.0,10.95
603567.SH,20250402,11.31,11.35,11.35,11.31,112200.0,1273064.96,11.35
002140.SZ,20250402,10.21,10.21,10.27,10.15,36800.0,375625.0,10.21
002197.SZ,20250402,5.09,5.08,5.1,5.08,94400.0,479855.0,5.08
002900.SZ,20250402,12.17,12.17,12.17,12.17,2097500.0,25526576.64,12.17
300774.SZ,20250402,8.87,8.86,8.87,8.86,46900.0,415651.0,8.86
301269.SZ,20250402,110.46,110.2,110.5,110.2,54600.0,6019509.12,110.25
301029.SZ,20250402,25.08,25.09,25.09,25.02,27100.0,679627.04,25.08
603725.SH,20250402,6.79,6.79,6.79,6.79,49000.0,332710.0,6.79
300208.SZ,20250402,1.92,1.92,1.92,1.91,57900.0,111166.0,1.92
002294.SZ,20250402,33.78,33.82,33.85,33.74,46800.0,1583024.96,33.83
002920.SZ,20250402,111.0,110.88,111.03,110.88,34900.0,3870185.92,110.89
300805.SZ,20250402,10.07,10.09,10.09,10.07,14500.0,146262.0,10.09
301282.SZ,20250402,22.52,22.56,22.56,22.51,10500.0,236633.0,22.54
301049.SZ,20250402,22.5,22.5,22.5,22.5,2200.0,49500.0,22.5
