ts_code,trade_date,close,open,high,low,vol,amount,vwap
000404.SZ,20240508,7.07,7.1,7.1,7.07,107200.0,760502.0,7.09
000016.SZ,20240508,3.11,3.12,3.12,3.11,24800.0,77279.0,3.12
002160.SZ,20240508,3.42,3.42,3.42,3.42,25500.0,87210.0,3.42
600201.SH,20240508,9.17,9.17,9.17,9.17,38000.0,348460.0,9.17
300239.SZ,20240508,5.54,5.58,5.6,5.54,470100.0,2621369.44,5.58
300497.SZ,20240508,11.8,11.79,11.88,11.65,799500.0,9424270.08,11.79
300123.SZ,20240508,5.61,5.62,5.62,5.6,229000.0,1285303.04,5.61
301115.SZ,20240508,16.05,16.05,16.05,16.05,0.0,0.0,16.05
688409.SH,20240508,68.67,68.67,68.67,68.67,3965.0,272277.0,68.67
688173.SH,20240508,12.09,12.09,12.09,12.09,6700.0,81003.0,12.09
601965.SH,20240508,20.91,20.91,20.91,20.91,10900.0,227919.0,20.91
688146.SH,20240508,30.25,30.25,30.25,30.25,326.0,9862.0,30.25
688253.SH,20240508,45.0,45.0,45.0,45.0,170615.0,7677674.88,45.0
688525.SH,20240508,51.09,51.09,51.09,51.09,140864.0,7196741.76,51.09
000525.SZ,20240508,7.48,7.48,7.49,7.48,202500.0,1514913.6,7.48
000056.SZ,20240508,2.45,2.45,2.46,2.44,512100.0,1255550.0,2.45
002223.SZ,20240508,38.98,38.99,39.05,38.9,63300.0,2467932.0,38.99
600241.SH,20240508,6.46,6.46,6.46,6.46,13400.0,86564.0,6.46
300279.SZ,20240508,4.88,4.9,4.9,4.88,23000.0,112663.0,4.9
300695.SZ,20240508,42.95,43.06,43.06,42.95,2600.0,111934.0,43.05
300163.SZ,20240508,1.55,1.55,1.55,1.54,3033900.16,4701043.84,1.55
000545.SZ,20240508,2.48,2.47,2.49,2.46,1459000.0,3601823.04,2.47
000157.SZ,20240508,8.68,8.69,8.69,8.66,100100.0,869700.96,8.69
002243.SZ,20240508,6.38,6.38,6.39,6.38,74100.0,472768.0,6.38
600261.SH,20240508,3.22,3.22,3.22,3.22,24700.0,79534.0,3.22
300292.SZ,20240508,3.7,3.72,3.73,3.69,668700.0,2484420.96,3.72
300885.SZ,20240508,8.49,8.49,8.58,8.45,83900.0,712704.96,8.5
300188.SZ,20240508,13.4,13.5,13.5,13.4,404700.0,5453623.04,13.48
000565.SZ,20240508,4.8,4.79,4.8,4.79,23300.0,111692.0,4.79
000419.SZ,20240508,4.77,4.77,4.77,4.77,11700.0,55809.0,4.77
002263.SZ,20240508,2.58,2.6,2.6,2.57,3873400.0,10057105.92,2.6
600300.SH,20240508,3.03,3.02,3.03,3.02,168400.0,508569.0,3.02
300318.SZ,20240508,5.35,5.34,5.35,5.33,15300.0,81732.0,5.34
300984.SZ,20240508,23.01,23.01,23.01,23.01,0.0,0.0,23.01
300200.SZ,20240508,7.88,7.88,7.93,7.88,314600.0,2479927.04,7.88
000626.SZ,20240508,5.54,5.53,5.54,5.53,13000.0,71895.0,5.53
000518.SZ,20240508,2.6,2.6,2.6,2.6,5014099.84,13036660.48,2.6
002288.SZ,20240508,2.09,2.09,2.09,2.09,10100.0,21109.0,2.09
600320.SH,20240508,3.75,3.75,3.75,3.75,60120.0,225450.0,3.75
300338.SZ,20240508,1.81,1.82,1.83,1.81,3243500.16,5902414.08,1.82
301009.SZ,20240508,8.86,8.87,8.87,8.86,10900.0,96660.0,8.87
300220.SZ,20240508,7.43,7.44,7.48,7.41,164200.0,1221451.04,7.44
000707.SZ,20240508,8.15,8.13,8.15,8.13,636800.0,5178201.92,8.13
000538.SZ,20240508,56.98,57.0,57.01,56.98,58000.0,3305500.48,56.99
002302.SZ,20240508,6.04,6.03,6.04,6.03,16300.0,98302.0,6.03
600340.SH,20240508,1.23,1.23,1.23,1.23,790800.0,972684.0,1.23
300358.SZ,20240508,8.9,8.85,8.95,8.85,637000.0,5653571.84,8.88
301029.SZ,20240508,24.58,24.6,24.6,24.58,66300.0,1630547.04,24.59
300240.SZ,20240508,5.58,5.58,5.58,5.58,11600.0,64728.0,5.58
000727.SZ,20240508,2.33,2.33,2.34,2.33,96700.0,225313.0,2.33
000558.SZ,20240508,2.52,2.52,2.52,2.52,188000.0,473760.0,2.52
002322.SZ,20240508,14.72,14.76,14.76,14.66,14600.0,215020.0,14.73
600221.SH,20240508,1.39,1.39,1.39,1.39,1040500.0,1446295.04,1.39
300378.SZ,20240508,17.81,17.81,17.82,17.81,19700.0,350860.0,17.81
301049.SZ,20240508,28.04,28.15,28.23,28.01,84600.0,2381678.08,28.15
300260.SZ,20240508,24.75,24.75,24.93,24.7,29600.0,732720.0,24.75
000767.SZ,20240508,2.54,2.55,2.55,2.54,47600.0,121367.0,2.55
000593.SZ,20240508,5.52,5.46,5.52,5.46,72100.0,394391.0,5.47
002342.SZ,20240508,3.45,3.46,3.46,3.45,55100.0,190644.0,3.46
600487.SH,20240508,13.84,13.84,13.84,13.84,129900.0,1797816.0,13.84
300393.SZ,20240508,7.62,7.64,7.64,7.6,59000.0,450361.0,7.63
301069.SZ,20240508,17.5,17.63,17.63,17.48,112800.0,1986155.04,17.61
300301.SZ,20240508,1.38,1.38,1.38,1.38,103340.0,142609.2,1.38
000816.SZ,20240508,2.31,2.31,2.31,2.31,153600.0,354816.0,2.31
000690.SZ,20240508,5.72,5.73,5.74,5.72,731600.0,4191758.08,5.73
002362.SZ,20240508,19.21,19.21,19.22,19.2,26000.0,499461.0,19.21
600586.SH,20240508,6.41,6.41,6.41,6.41,37300.0,239093.0,6.41
300414.SZ,20240508,7.73,7.74,7.74,7.67,38400.0,296663.0,7.73
301082.SZ,20240508,12.8,12.8,12.83,12.8,22400.0,286762.0,12.8
300321.SZ,20240508,24.47,24.6,24.6,24.42,35300.0,866962.0,24.56
000836.SZ,20240508,1.45,1.45,1.45,1.45,23800.0,34510.0,1.45
000791.SZ,20240508,6.36,6.36,6.36,6.34,98699.0,627591.64,6.36
002389.SZ,20240508,16.5,16.64,16.64,16.5,894900.0,14881080.32,16.63
600685.SH,20240508,26.32,26.32,26.32,26.32,53400.0,1405488.0,26.32
300434.SZ,20240508,9.34,9.35,9.35,9.3,79600.0,744215.04,9.35
301108.SZ,20240508,27.99,27.8,27.99,27.61,16900.0,469551.0,27.78
300341.SZ,20240508,9.87,9.87,9.87,9.87,5700.0,56259.0,9.87
000856.SZ,20240508,7.37,7.38,7.38,7.37,19900.0,146834.0,7.38
000880.SZ,20240508,9.03,9.03,9.05,9.03,69100.0,624022.0,9.03
002485.SZ,20240508,2.48,2.48,2.48,2.45,12300.0,30474.0,2.48
600784.SH,20240508,5.28,5.28,5.28,5.28,15600.0,82368.0,5.28
300454.SZ,20240508,55.91,55.91,56.0,55.8,82600.0,4618190.08,55.91
301128.SZ,20240508,41.69,41.7,41.7,41.69,6500.0,271048.0,41.7
300486.SZ,20240508,5.31,5.32,5.32,5.23,699500.0,3714193.92,5.31
000876.SZ,20240508,8.93,8.95,8.95,8.93,76500.0,684644.0,8.95
