trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy,side,reason
20220530,000404.SZ,东方财富证券股份有限公司拉萨团结路第一证券营业部,8488156.73,0.97,1809363.52,0.21,6678793.21,0,振幅值达15%的证券
20220530,000404.SZ,东方财富证券股份有限公司拉萨东环路第一证券营业部,8404552.8,0.96,28493080.0,3.26,-20088527.2,0,振幅值达15%的证券
20220530,000404.SZ,光大证券股份有限公司佛山绿景路证券营业部,7739670.5,0.88,19486.0,0.0,7720184.5,0,振幅值达15%的证券
20220530,000404.SZ,东方财富证券股份有限公司拉萨团结路第二证券营业部,7674665.5,0.88,3469917.73,0.4,4204747.77,0,振幅值达15%的证券
20220530,000404.SZ,安信证券股份有限公司娄底乐坪大道证券营业部,6951209.0,0.79,0.0,0.0,6951209.0,0,振幅值达15%的证券
20220530,000404.SZ,东方财富证券股份有限公司拉萨东环路第一证券营业部,8404552.8,0.96,28493080.0,3.26,-20088527.2,1,振幅值达15%的证券
20220530,000404.SZ,东吴证券股份有限公司上海西藏南路证券营业部,3889836.0,0.44,12678478.0,1.45,-8788642.0,1,振幅值达15%的证券
20220530,000404.SZ,华鑫证券有限责任公司上海淞滨路证券营业部,6380022.0,0.73,11759021.24,1.34,-5378999.24,1,振幅值达15%的证券
20220530,000404.SZ,海通证券股份有限公司济南洪家楼南路证券营业部,6445842.0,0.74,11005112.62,1.26,-4559270.62,1,振幅值达15%的证券
20220530,000404.SZ,国盛证券有限责任公司宁波桑田路证券营业部,763323.0,0.09,10000881.06,1.14,-9237558.06,1,振幅值达15%的证券
20220530,000404.SZ,东方财富证券股份有限公司拉萨团结路第一证券营业部,8488156.73,0.97,1809363.52,0.21,6678793.21,0,跌幅偏离值达7%的证券
20220530,000404.SZ,东方财富证券股份有限公司拉萨东环路第一证券营业部,8404552.8,0.96,28493080.0,3.26,-20088527.2,0,跌幅偏离值达7%的证券
20220530,000404.SZ,光大证券股份有限公司佛山绿景路证券营业部,7739670.5,0.88,19486.0,0.0,7720184.5,0,跌幅偏离值达7%的证券
20220530,000404.SZ,东方财富证券股份有限公司拉萨团结路第二证券营业部,7674665.5,0.88,3469917.73,0.4,4204747.77,0,跌幅偏离值达7%的证券
20220530,000404.SZ,安信证券股份有限公司娄底乐坪大道证券营业部,6951209.0,0.79,0.0,0.0,6951209.0,0,跌幅偏离值达7%的证券
20220530,000404.SZ,东方财富证券股份有限公司拉萨东环路第一证券营业部,8404552.8,0.96,28493080.0,3.26,-20088527.2,1,跌幅偏离值达7%的证券
20220530,000404.SZ,东吴证券股份有限公司上海西藏南路证券营业部,3889836.0,0.44,12678478.0,1.45,-8788642.0,1,跌幅偏离值达7%的证券
20220530,000404.SZ,华鑫证券有限责任公司上海淞滨路证券营业部,6380022.0,0.73,11759021.24,1.34,-5378999.24,1,跌幅偏离值达7%的证券
20220530,000404.SZ,海通证券股份有限公司济南洪家楼南路证券营业部,6445842.0,0.74,11005112.62,1.26,-4559270.62,1,跌幅偏离值达7%的证券
20220530,000404.SZ,国盛证券有限责任公司宁波桑田路证券营业部,763323.0,0.09,10000881.06,1.14,-9237558.06,1,跌幅偏离值达7%的证券
20220530,000595.SZ,财信证券股份有限公司杭州西湖国贸中心证券营业部,13175838.0,2.51,0.0,0.0,13175838.0,0,连续三个交易日内，涨幅偏离值累计达20%的证券
20220530,000595.SZ,中信证券股份有限公司杭州富春路证券营业部,12313177.0,2.34,193907.0,0.04,12119270.0,0,连续三个交易日内，涨幅偏离值累计达20%的证券
20220530,000595.SZ,中国银河证券股份有限公司北京中关村大街证券营业部,11818410.0,2.25,97964.0,0.02,11720446.0,0,连续三个交易日内，涨幅偏离值累计达20%的证券
20220530,000595.SZ,国元证券股份有限公司上海斜土路证券营业部,10808898.0,2.06,0.0,0.0,10808898.0,0,连续三个交易日内，涨幅偏离值累计达20%的证券
20220530,000595.SZ,华泰证券股份有限公司上海普陀区江宁路证券营业部,10578017.0,2.01,9074.0,0.0,10568943.0,0,连续三个交易日内，涨幅偏离值累计达20%的证券
